Intercontinental Exchange Quarterly Net Income (Millions of US $),Intercontinental Exchange Quarterly Net Income (Millions of US $).1
2024-06-30,$632
2024-03-31,$767
2023-12-31,$373
2023-09-30,$541
2023-06-30,$799
2023-03-31,$655
2022-12-31,$425
2022-09-30,$-191
2022-06-30,$555
2022-03-31,$657
2021-12-31,"$1,527"
2021-09-30,$633
2021-06-30,"$1,252"
2021-03-31,$646
2020-12-31,$526
2020-09-30,$390
2020-06-30,$523
2020-03-31,$650
2019-12-31,$448
2019-09-30,$529
2019-06-30,$472
2019-03-31,$484
2018-12-31,$611
2018-09-30,$458
2018-06-30,$455
2018-03-31,$464
2017-12-31,"$1,233"
2017-09-30,$371
2017-06-30,$419
2017-03-31,$503
2016-12-31,$360
2016-09-30,$344
2016-06-30,$357
2016-03-31,$369
2015-12-31,$370
2015-09-30,$306
2015-06-30,$283
2015-03-31,$315
2014-12-31,$288
2014-09-30,$206
2014-06-30,$226
2014-03-31,$261
2013-12-31,$-176
2013-09-30,$141
2013-06-30,$154
2013-03-31,$135
2012-12-31,$130
2012-09-30,$131
2012-06-30,$143
2012-03-31,$148
2011-12-31,$127
2011-09-30,$133
2011-06-30,$121
2011-03-31,$129
2010-12-31,$99
2010-09-30,$96
2010-06-30,$102
2010-03-31,$101
2009-12-31,$84
2009-09-30,$87
2009-06-30,$72
2009-03-31,$72
