DTE Energy Quarterly Net Income (Millions of US $),DTE Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$322
2024-03-31,$313
2023-12-31,$419
2023-09-30,$332
2023-06-30,$201
2023-03-31,$445
2022-12-31,$265
2022-09-30,$387
2022-06-30,$37
2022-03-31,$394
2021-12-31,$306
2021-09-30,$25
2021-06-30,$179
2021-03-31,$397
2020-12-31,$275
2020-09-30,$476
2020-06-30,$277
2020-03-31,$340
2019-12-31,$267
2019-09-30,$319
2019-06-30,$182
2019-03-31,$401
2018-12-31,$191
2018-09-30,$334
2018-06-30,$234
2018-03-31,$361
2017-12-31,$287
2017-09-30,$270
2017-06-30,$177
2017-03-31,$400
2016-12-31,$131
2016-09-30,$338
2016-06-30,$152
2016-03-31,$247
2015-12-31,$80
2015-09-30,$265
2015-06-30,$109
2015-03-31,$273
2014-12-31,$299
2014-09-30,$156
2014-06-30,$124
2014-03-31,$326
2013-12-31,$124
2013-09-30,$198
2013-06-30,$105
2013-03-31,$234
2012-12-31,$81
2012-09-30,$227
2012-06-30,$146
2012-03-31,$156
2011-12-31,$150
2011-09-30,$183
2011-06-30,$202
2011-03-31,$176
2010-12-31,$152
2010-09-30,$163
2010-06-30,$86
2010-03-31,$229
2009-12-31,$120
2009-09-30,$151
2009-06-30,$83
2009-03-31,$178
