Zscaler Quarterly Net Income (Millions of US $),Zscaler Quarterly Net Income (Millions of US $).1
2024-04-30,$19
2024-01-31,$-28
2023-10-31,$-33
2023-07-31,$-31
2023-04-30,$-46
2023-01-31,$-57
2022-10-31,$-68
2022-07-31,$-98
2022-04-30,$-101
2022-01-31,$-100
2021-10-31,$-91
2021-07-31,$-81
2021-04-30,$-58
2021-01-31,$-68
2020-10-31,$-55
2020-07-31,$-50
2020-04-30,$-19
2020-01-31,$-29
2019-10-31,$-17
2019-07-31,$-5
2019-04-30,$-12
2019-01-31,$-4
2018-10-31,$-8
2018-07-31,$-7
2018-04-30,$-10
2018-01-31,$-9
2017-10-31,$-14
2017-07-31,
2017-04-30,$-10
2016-07-31,
2015-07-31,
