Cooper Quarterly Net Income (Millions of US $),Cooper Quarterly Net Income (Millions of US $).1
2024-07-31,$105
2024-04-30,$89
2024-01-31,$81
2023-10-31,$85
2023-07-31,$85
2023-04-30,$40
2023-01-31,$85
2022-10-31,$66
2022-07-31,$98
2022-04-30,$127
2022-01-31,$95
2021-10-31,$110
2021-07-31,$616
2021-04-30,$118
2021-01-31,"$2,101"
2020-10-31,$81
2020-07-31,$55
2020-04-30,$12
2020-01-31,$91
2019-10-31,$121
2019-07-31,$120
2019-04-30,$122
2019-01-31,$103
2018-10-31,$101
2018-07-31,$101
2018-04-30,$61
2018-01-31,$-123
2017-10-31,$89
2017-07-31,$104
2017-04-30,$105
2017-01-31,$76
2016-10-31,$61
2016-07-31,$88
2016-04-30,$74
2016-01-31,$51
2015-10-31,$37
2015-07-31,$45
2015-04-30,$61
2015-01-31,$61
2014-10-31,$31
2014-07-31,$88
2014-04-30,$79
2014-01-31,$72
2013-10-31,$57
2013-07-31,$89
2013-04-30,$75
2013-01-31,$75
2012-10-31,$72
2012-07-31,$67
2012-04-30,$55
2012-01-31,$55
2011-10-31,$57
2011-07-31,$44
2011-04-30,$35
2011-01-31,$39
2010-10-31,$48
2010-07-31,$40
2010-04-30,$4
2010-01-31,$20
2009-10-31,$30
2009-07-31,$22
2009-04-30,$25
2009-01-31,$24
