Ross Stores Quarterly Net Income (Millions of US $),Ross Stores Quarterly Net Income (Millions of US $).1
2024-07-31,$527
2024-04-30,$488
2024-01-31,$610
2023-10-31,$447
2023-07-31,$446
2023-04-30,$371
2023-01-31,$447
2022-10-31,$342
2022-07-31,$385
2022-04-30,$338
2022-01-31,$367
2021-10-31,$385
2021-07-31,$494
2021-04-30,$476
2021-01-31,$238
2020-10-31,$131
2020-07-31,$22
2020-04-30,$-306
2020-01-31,$456
2019-10-31,$371
2019-07-31,$413
2019-04-30,$421
2019-01-31,$442
2018-10-31,$338
2018-07-31,$389
2018-04-30,$418
2018-01-31,$451
2017-10-31,$274
2017-07-31,$317
2017-04-30,$321
2017-01-31,$301
2016-10-31,$245
2016-07-31,$282
2016-04-30,$291
2016-01-31,$264
2015-10-31,$216
2015-07-31,$259
2015-04-30,$282
2015-01-31,$249
2014-10-31,$193
2014-07-31,$240
2014-04-30,$244
2014-01-31,$218
2013-10-31,$172
2013-07-31,$213
2013-04-30,$235
2013-01-31,$237
2012-10-31,$160
2012-07-31,$182
2012-04-30,$209
2012-01-31,$192
2011-10-31,$144
2011-07-31,$148
2011-04-30,$173
2011-01-31,$162
2010-10-31,$121
2010-07-31,$129
2010-04-30,$142
2010-01-31,$143
2009-10-31,$105
2009-07-31,$103
2009-04-30,$91
2009-01-31,$97
