Principal Financial Quarterly Net Income (Millions of US $),Principal Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$353
2024-03-31,$533
2023-12-31,$-872
2023-09-30,"$1,246"
2023-06-30,$389
2023-03-31,$-140
2022-12-31,$-16
2022-09-30,"$1,316"
2022-06-30,"$3,119"
2022-03-31,$339
2021-12-31,$341
2021-09-30,$360
2021-06-30,$362
2021-03-31,$517
2020-12-31,$473
2020-09-30,$236
2020-06-30,$398
2020-03-31,$289
2019-12-31,$301
2019-09-30,$277
2019-06-30,$386
2019-03-31,$430
2018-12-31,$237
2018-09-30,$456
2018-06-30,$457
2018-03-31,$397
2017-12-31,$842
2017-09-30,$810
2017-06-30,$310
2017-03-31,$349
2016-12-31,$318
2016-09-30,$308
2016-06-30,$322
2016-03-31,$368
2015-12-31,$254
2015-09-30,$300
2015-06-30,$241
2015-03-31,$414
2014-12-31,$271
2014-09-30,$230
2014-06-30,$306
2014-03-31,$284
2013-12-31,$233
2013-09-30,$246
2013-06-30,$222
2013-03-31,$178
2012-12-31,$215
2012-09-30,$187
2012-06-30,$168
2012-03-31,$204
2011-12-31,$134
2011-09-30,$72
2011-06-30,$217
2011-03-31,$182
2010-12-31,$163
2010-09-30,$142
2010-06-30,$134
2010-03-31,$191
2009-12-31,$142
2009-09-30,$185
2009-06-30,$150
2009-03-31,$113
