Henry Schein Quarterly Net Income (Millions of US $),Henry Schein Quarterly Net Income (Millions of US $).1
2024-06-30,$104
2024-03-31,$93
2023-12-31,$18
2023-09-30,$137
2023-06-30,$140
2023-03-31,$121
2022-12-31,$47
2022-09-30,$150
2022-06-30,$160
2022-03-31,$181
2021-12-31,$147
2021-09-30,$162
2021-06-30,$156
2021-03-31,$166
2020-12-31,$143
2020-09-30,$142
2020-06-30,$-11
2020-03-31,$130
2019-12-31,$330
2019-09-30,$141
2019-06-30,$115
2019-03-31,$110
2018-12-31,$133
2018-09-30,$121
2018-06-30,$141
2018-03-31,$140
2017-12-31,$-9
2017-09-30,$138
2017-06-30,$136
2017-03-31,$141
2016-12-31,$139
2016-09-30,$134
2016-06-30,$120
2016-03-31,$114
2015-12-31,$130
2015-09-30,$128
2015-06-30,$118
2015-03-31,$103
2014-12-31,$133
2014-09-30,$115
2014-06-30,$116
2014-03-31,$102
2013-12-31,$124
2013-09-30,$107
2013-06-30,$108
2013-03-31,$91
2012-12-31,$112
2012-09-30,$97
2012-06-30,$98
2012-03-31,$81
2011-12-31,$105
2011-09-30,$92
2011-06-30,$94
2011-03-31,$76
2010-12-31,$93
2010-09-30,$88
2010-06-30,$84
2010-03-31,$61
2009-12-31,$86
2009-09-30,$96
2009-06-30,$73
2009-03-31,$55
