Valero Energy Quarterly Net Income (Millions of US $),Valero Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$880
2024-03-31,"$1,242"
2023-12-31,"$1,212"
2023-09-30,"$2,622"
2023-06-30,"$1,944"
2023-03-31,"$3,057"
2022-12-31,"$3,113"
2022-09-30,"$2,817"
2022-06-30,"$4,693"
2022-03-31,$905
2021-12-31,"$1,009"
2021-09-30,$463
2021-06-30,$162
2021-03-31,$-704
2020-12-31,$-359
2020-09-30,$-464
2020-06-30,"$1,253"
2020-03-31,"$-1,851"
2019-12-31,"$1,060"
2019-09-30,$609
2019-06-30,$612
2019-03-31,$141
2018-12-31,$952
2018-09-30,$856
2018-06-30,$845
2018-03-31,$469
2017-12-31,"$2,371"
2017-09-30,$841
2017-06-30,$548
2017-03-31,$305
2016-12-31,$367
2016-09-30,$613
2016-06-30,$814
2016-03-31,$495
2015-12-31,$298
2015-09-30,"$1,377"
2015-06-30,"$1,351"
2015-03-31,$964
2014-12-31,"$1,155"
2014-09-30,"$1,059"
2014-06-30,$588
2014-03-31,$828
2013-12-31,"$1,288"
2013-09-30,$312
2013-06-30,$466
2013-03-31,$654
2012-12-31,"$1,010"
2012-09-30,$674
2012-06-30,$831
2012-03-31,$-432
2011-12-31,$45
2011-09-30,"$1,203"
2011-06-30,$744
2011-03-31,$98
2010-12-31,$-438
2010-09-30,$292
2010-06-30,$583
2010-03-31,$-113
2009-12-31,"$-1,408"
2009-09-30,$-629
2009-06-30,$-254
2009-03-31,$309
