Moderna Quarterly Net Income (Millions of US $),Moderna Quarterly Net Income (Millions of US $).1
2024-06-30,"$-1,279"
2024-03-31,"$-1,175"
2023-12-31,$217
2023-09-30,"$-3,630"
2023-06-30,"$-1,380"
2023-03-31,$79
2022-12-31,"$1,465"
2022-09-30,"$1,043"
2022-06-30,"$2,197"
2022-03-31,"$3,657"
2021-12-31,"$4,868"
2021-09-30,"$3,333"
2021-06-30,"$2,780"
2021-03-31,"$1,221"
2020-12-31,$-273
2020-09-30,$-233
2020-06-30,$-117
2020-03-31,$-124
2019-12-31,$-123
2019-09-30,$-123
2019-06-30,$-135
2019-03-31,$-133
2018-12-31,$-141
2018-09-30,$-88
2018-06-30,$-94
2018-03-31,$-76
2017-12-31,
2016-12-31,
