F5 Quarterly Net Income (Millions of US $),F5 Quarterly Net Income (Millions of US $).1
2024-06-30,$144
2024-03-31,$119
2023-12-31,$138
2023-09-30,$152
2023-06-30,$89
2023-03-31,$81
2022-12-31,$72
2022-09-30,$89
2022-06-30,$83
2022-03-31,$56
2021-12-31,$94
2021-09-30,$111
2021-06-30,$90
2021-03-31,$43
2020-12-31,$88
2020-09-30,$78
2020-06-30,$70
2020-03-31,$61
2019-12-31,$99
2019-09-30,$95
2019-06-30,$86
2019-03-31,$116
2018-12-31,$131
2018-09-30,$133
2018-06-30,$123
2018-03-31,$110
2017-12-31,$88
2017-09-30,$136
2017-06-30,$98
2017-03-31,$93
2016-12-31,$94
2016-09-30,$109
2016-06-30,$92
2016-03-31,$75
2015-12-31,$90
2015-09-30,$97
2015-06-30,$93
2015-03-31,$86
2014-12-31,$89
2014-09-30,$94
2014-06-30,$79
2014-03-31,$70
2013-12-31,$68
2013-09-30,$76
2013-06-30,$68
2013-03-31,$63
2012-12-31,$69
2012-09-30,$68
2012-06-30,$72
2012-03-31,$69
2011-12-31,$66
2011-09-30,$68
2011-06-30,$63
2011-03-31,$56
2010-12-31,$56
2010-09-30,$48
2010-06-30,$40
2010-03-31,$33
2009-12-31,$29
2009-09-30,$28
2009-06-30,$23
2009-03-31,$19
