D.R Horton Quarterly Net Income (Millions of US $),D.R Horton Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,354"
2024-03-31,"$1,172"
2023-12-31,$947
2023-09-30,"$1,510"
2023-06-30,"$1,335"
2023-03-31,$942
2022-12-31,$959
2022-09-30,"$1,632"
2022-06-30,"$1,648"
2022-03-31,"$1,436"
2021-12-31,"$1,142"
2021-09-30,"$1,339"
2021-06-30,"$1,116"
2021-03-31,$930
2020-12-31,$792
2020-09-30,$829
2020-06-30,$631
2020-03-31,$483
2019-12-31,$431
2019-09-30,$505
2019-06-30,$475
2019-03-31,$351
2018-12-31,$287
2018-09-30,$466
2018-06-30,$454
2018-03-31,$351
2017-12-31,$189
2017-09-30,$313
2017-06-30,$289
2017-03-31,$229
2016-12-31,$207
2016-09-30,$284
2016-06-30,$250
2016-03-31,$195
2015-12-31,$158
2015-09-30,$239
2015-06-30,$221
2015-03-31,$148
2014-12-31,$143
2014-09-30,$166
2014-06-30,$113
2014-03-31,$131
2013-12-31,$123
2013-09-30,$139
2013-06-30,$146
2013-03-31,$111
2012-12-31,$66
2012-09-30,$100
2012-06-30,$788
2012-03-31,$41
2011-12-31,$28
2011-09-30,$36
2011-06-30,$29
2011-03-31,$28
2010-12-31,$-20
2010-09-30,$-9
2010-06-30,$51
2010-03-31,$11
2009-12-31,$192
2009-09-30,$-235
2009-06-30,$-144
2009-03-31,$-109
