MercadoLibre Quarterly Net Income (Millions of US $),MercadoLibre Quarterly Net Income (Millions of US $).1
2024-06-30,$531
2024-03-31,$344
2023-12-31,$165
2023-09-30,$359
2023-06-30,$262
2023-03-31,$201
2022-12-31,$165
2022-09-30,$129
2022-06-30,$123
2022-03-31,$65
2021-12-31,$-46
2021-09-30,$95
2021-06-30,$68
2021-03-31,$-34
2020-12-31,$-48
2020-09-30,$14
2020-06-30,$55
2020-03-31,$-22
2019-12-31,$-55
2019-09-30,$-147
2019-06-30,$15
2019-03-31,$6
2018-12-31,$-2
2018-09-30,$-10
2018-06-30,$-11
2018-03-31,$-13
2017-12-31,$-68
2017-09-30,$28
2017-06-30,$5
2017-03-31,$49
2016-12-31,$51
2016-09-30,$39
2016-06-30,$16
2016-03-31,$30
2015-12-31,$39
2015-09-30,$46
2015-06-30,$19
2015-03-31,$2
2014-12-31,$34
2014-09-30,$34
2014-06-30,$-26
2014-03-31,$30
2013-12-31,$41
2013-09-30,$29
2013-06-30,$30
2013-03-31,$17
2012-12-31,$30
2012-09-30,$26
2012-06-30,$25
2012-03-31,$20
2011-12-31,$22
2011-09-30,$26
2011-06-30,$15
2011-03-31,$14
2010-12-31,$16
2010-09-30,$19
2010-06-30,$12
2010-03-31,$10
2009-12-31,$11
2009-09-30,$10
2009-06-30,$7
2009-03-31,$5
