Teleflex Quarterly Net Income (Millions of US $),Teleflex Quarterly Net Income (Millions of US $).1
2024-06-30,$80
2024-03-31,$15
2023-12-31,$31
2023-09-30,$137
2023-06-30,$111
2023-03-31,$77
2022-12-31,$79
2022-09-30,$102
2022-06-30,$106
2022-03-31,$77
2021-12-31,$128
2021-09-30,$199
2021-06-30,$83
2021-03-31,$75
2020-12-31,$76
2020-09-30,$117
2020-06-30,$11
2020-03-31,$131
2019-12-31,$108
2019-09-30,$229
2019-06-30,$83
2019-03-31,$41
2018-12-31,$91
2018-09-30,$57
2018-06-30,$-2
2018-03-31,$56
2017-12-31,$-43
2017-09-30,$77
2017-06-30,$78
2017-03-31,$40
2016-12-31,$61
2016-09-30,$66
2016-06-30,$59
2016-03-31,$51
2015-12-31,$101
2015-09-30,$61
2015-06-30,$45
2015-03-31,$38
2014-12-31,$51
2014-09-30,$55
2014-06-30,$47
2014-03-31,$35
2013-12-31,$35
2013-09-30,$47
2013-06-30,$42
2013-03-31,$27
2012-12-31,$29
2012-09-30,$22
2012-06-30,$43
2012-03-31,$-284
2011-12-31,$168
2011-09-30,$44
2011-06-30,$34
2011-03-31,$78
2010-12-31,$81
2010-09-30,$22
2010-06-30,$60
2010-03-31,$38
2009-12-31,$43
2009-09-30,$38
2009-06-30,$6
2009-03-31,$216
