Nasdaq Quarterly Net Income (Millions of US $),Nasdaq Quarterly Net Income (Millions of US $).1
2024-06-30,$222
2024-03-31,$234
2023-12-31,$196
2023-09-30,$294
2023-06-30,$267
2023-03-31,$302
2022-12-31,$240
2022-09-30,$294
2022-06-30,$307
2022-03-31,$284
2021-12-31,$260
2021-09-30,$288
2021-06-30,$341
2021-03-31,$298
2020-12-31,$225
2020-09-30,$264
2020-06-30,$241
2020-03-31,$203
2019-12-31,$203
2019-09-30,$150
2019-06-30,$174
2019-03-31,$247
2018-12-31,$-44
2018-09-30,$163
2018-06-30,$162
2018-03-31,$177
2017-12-31,$245
2017-09-30,$170
2017-06-30,$146
2017-03-31,$168
2016-12-31,$-227
2016-09-30,$131
2016-06-30,$70
2016-03-31,$132
2015-12-31,$148
2015-09-30,$138
2015-06-30,$133
2015-03-31,$9
2014-12-31,$87
2014-09-30,$123
2014-06-30,$101
2014-03-31,$103
2013-12-31,$142
2013-09-30,$113
2013-06-30,$88
2013-03-31,$42
2012-12-31,$85
2012-09-30,$89
2012-06-30,$93
2012-03-31,$85
2011-12-31,$81
2011-09-30,$110
2011-06-30,$92
2011-03-31,$104
2010-12-31,$136
2010-09-30,$101
2010-06-30,$96
2010-03-31,$61
2009-12-31,$43
2009-09-30,$60
2009-06-30,$69
2009-03-31,$94
