Expedia Quarterly Net Income (Millions of US $),Expedia Quarterly Net Income (Millions of US $).1
2024-06-30,$386
2024-03-31,$-135
2023-12-31,$132
2023-09-30,$425
2023-06-30,$385
2023-03-31,$-145
2022-12-31,$177
2022-09-30,$482
2022-06-30,$-185
2022-03-31,$-122
2021-12-31,$276
2021-09-30,$362
2021-06-30,$-301
2021-03-31,$-606
2020-12-31,$-412
2020-09-30,$-221
2020-06-30,$-753
2020-03-31,"$-1,301"
2019-12-31,$76
2019-09-30,$409
2019-06-30,$183
2019-03-31,$-103
2018-12-31,$17
2018-09-30,$525
2018-06-30,$1
2018-03-31,$-137
2017-12-31,$55
2017-09-30,$352
2017-06-30,$57
2017-03-31,$-86
2016-12-31,$80
2016-09-30,$279
2016-06-30,$32
2016-03-31,$-109
2015-12-31,$-13
2015-09-30,$283
2015-06-30,$450
2015-03-31,$44
2014-12-31,$66
2014-09-30,$257
2014-06-30,$89
2014-03-31,$-14
2013-12-31,$95
2013-09-30,$171
2013-06-30,$72
2013-03-31,$-104
2012-12-31,$7
2012-09-30,$171
2012-06-30,$105
2012-03-31,$-3
2011-12-31,$70
2011-09-30,$210
2011-06-30,$140
2011-03-31,$52
2010-12-31,$71
2010-09-30,$177
2010-06-30,$114
2010-03-31,$59
2009-12-31,$102
2009-09-30,$117
2009-06-30,$41
2009-03-31,$39
