Centene Quarterly Net Income (Millions of US $),Centene Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,146"
2024-03-31,"$1,163"
2023-12-31,$45
2023-09-30,$469
2023-06-30,"$1,058"
2023-03-31,"$1,130"
2022-12-31,$-213
2022-09-30,$738
2022-06-30,$-172
2022-03-31,$849
2021-12-31,$599
2021-09-30,$584
2021-06-30,$-535
2021-03-31,$699
2020-12-31,$-12
2020-09-30,$568
2020-06-30,"$1,206"
2020-03-31,$46
2019-12-31,$209
2019-09-30,$95
2019-06-30,$495
2019-03-31,$522
2018-12-31,$241
2018-09-30,$19
2018-06-30,$300
2018-03-31,$340
2017-12-31,$230
2017-09-30,$205
2017-06-30,$254
2017-03-31,$139
2016-12-31,$261
2016-09-30,$147
2016-06-30,$170
2016-03-31,$-16
2015-12-31,$111
2015-09-30,$93
2015-06-30,$88
2015-03-31,$63
2014-12-31,$107
2014-09-30,$82
2014-06-30,$49
2014-03-31,$33
2013-12-31,$53
2013-09-30,$49
2013-06-30,$39
2013-03-31,$23
2012-12-31,$9
2012-09-30,$4
2012-06-30,$-35
2012-03-31,$24
2011-12-31,$30
2011-09-30,$29
2011-06-30,$28
2011-03-31,$24
2010-12-31,$25
2010-09-30,$23
2010-06-30,$23
2010-03-31,$24
2009-12-31,$24
2009-09-30,$21
2009-06-30,$20
2009-03-31,$18
