GoDaddy Quarterly Net Income (Millions of US $),GoDaddy Quarterly Net Income (Millions of US $).1
2024-06-30,$146
2024-03-31,$402
2023-12-31,"$1,114"
2023-09-30,$131
2023-06-30,$83
2023-03-31,$47
2022-12-31,$94
2022-09-30,$100
2022-06-30,$90
2022-03-31,$68
2021-12-31,$87
2021-09-30,$98
2021-06-30,$47
2021-03-31,$11
2020-12-31,$71
2020-09-30,$65
2020-06-30,$-673
2020-03-31,$43
2019-12-31,$61
2019-09-30,$76
2019-06-30,$-13
2019-03-31,$13
2018-12-31,$43
2018-09-30,$13
2018-06-30,$18
2018-03-31,$3
2017-12-31,$93
2017-09-30,$22
2017-06-30,$21
2017-03-31,$1
2016-12-31,$-2
2016-09-30,$5
2016-06-30,$-9
2016-03-31,$-11
2015-12-31,$-2
2015-09-30,$-3
2015-06-30,$-30
2015-03-31,$-13
2014-12-31,$-27
2014-09-30,$-28
2014-06-30,$-11
2014-03-31,$-51
2013-12-31,
2012-12-31,
