Charles Schwab Quarterly Net Income (Millions of US $),Charles Schwab Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,211"
2024-03-31,"$1,251"
2023-12-31,$926
2023-09-30,"$1,017"
2023-06-30,"$1,173"
2023-03-31,"$1,533"
2022-12-31,"$1,821"
2022-09-30,"$1,884"
2022-06-30,"$1,652"
2022-03-31,"$1,278"
2021-12-31,"$1,449"
2021-09-30,"$1,406"
2021-06-30,"$1,117"
2021-03-31,"$1,388"
2020-12-31,"$1,050"
2020-09-30,$615
2020-06-30,$621
2020-03-31,$757
2019-12-31,$801
2019-09-30,$913
2019-06-30,$887
2019-03-31,$925
2018-12-31,$885
2018-09-30,$885
2018-06-30,$813
2018-03-31,$746
2017-12-31,$550
2017-09-30,$575
2017-06-30,$530
2017-03-31,$525
2016-12-31,$478
2016-09-30,$470
2016-06-30,$406
2016-03-31,$392
2015-12-31,$378
2015-09-30,$365
2015-06-30,$330
2015-03-31,$291
2014-12-31,$329
2014-09-30,$312
2014-06-30,$302
2014-03-31,$318
2013-12-31,$297
2013-09-30,$282
2013-06-30,$233
2013-03-31,$198
2012-12-31,$189
2012-09-30,$238
2012-06-30,$261
2012-03-31,$195
2011-12-31,$163
2011-09-30,$220
2011-06-30,$238
2011-03-31,$243
2010-12-31,$119
2010-09-30,$124
2010-06-30,$205
2010-03-31,$6
2009-12-31,$164
2009-09-30,$200
2009-06-30,$205
2009-03-31,$218
