American Express Quarterly Net Income (Millions of US $),American Express Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,977"
2024-03-31,"$2,405"
2023-12-31,"$1,904"
2023-09-30,"$2,418"
2023-06-30,"$2,142"
2023-03-31,"$1,788"
2022-12-31,"$1,546"
2022-09-30,"$1,851"
2022-06-30,"$1,934"
2022-03-31,"$2,069"
2021-12-31,"$1,679"
2021-09-30,"$1,783"
2021-06-30,"$2,249"
2021-03-31,"$2,206"
2020-12-31,"$1,415"
2020-09-30,"$1,050"
2020-06-30,$238
2020-03-31,$333
2019-12-31,"$1,661"
2019-09-30,"$1,723"
2019-06-30,"$1,729"
2019-03-31,"$1,518"
2018-12-31,"$1,975"
2018-09-30,"$1,621"
2018-06-30,"$1,591"
2018-03-31,"$1,600"
2017-12-31,"$-1,215"
2017-09-30,"$1,327"
2017-06-30,"$1,314"
2017-03-31,"$1,220"
2016-12-31,$767
2016-09-30,"$1,112"
2016-06-30,"$1,979"
2016-03-31,"$1,394"
2015-12-31,$873
2015-09-30,"$1,234"
2015-06-30,"$1,442"
2015-03-31,"$1,514"
2014-12-31,"$1,424"
2014-09-30,"$1,466"
2014-06-30,"$1,517"
2014-03-31,"$1,432"
2013-12-31,"$1,297"
2013-09-30,"$1,354"
2013-06-30,"$1,392"
2013-03-31,"$1,269"
2012-12-31,$616
2012-09-30,"$1,250"
2012-06-30,"$1,325"
2012-03-31,"$1,242"
2011-12-31,"$1,149"
2011-09-30,"$1,220"
2011-06-30,"$1,331"
2011-03-31,"$1,177"
2010-12-31,"$1,024"
2010-09-30,"$1,080"
2010-06-30,"$1,017"
2010-03-31,$885
2009-12-31,"$1,027"
2009-09-30,$640
2009-06-30,$102
2009-03-31,$361
