Salesforce Quarterly Net Income (Millions of US $),Salesforce Quarterly Net Income (Millions of US $).1
2024-07-31,"$1,429"
2024-04-30,"$1,533"
2024-01-31,"$1,446"
2023-10-31,"$1,224"
2023-07-31,"$1,267"
2023-04-30,$199
2023-01-31,$-98
2022-10-31,$210
2022-07-31,$68
2022-04-30,$28
2022-01-31,$-28
2021-10-31,$468
2021-07-31,$535
2021-04-30,$469
2021-01-31,$267
2020-10-31,"$1,081"
2020-07-31,"$2,625"
2020-04-30,$99
2020-01-31,$-248
2019-10-31,$-109
2019-07-31,$91
2019-04-30,$392
2019-01-31,$362
2018-10-31,$105
2018-07-31,$299
2018-04-30,$344
2018-01-31,$206
2017-10-31,$107
2017-07-31,$46
2017-04-30,$1
2017-01-31,$92
2016-10-31,$-37
2016-07-31,$230
2016-04-30,$39
2016-01-31,$-26
2015-10-31,$-25
2015-07-31,$-1
2015-04-30,$4
2015-01-31,$-66
2014-10-31,$-39
2014-07-31,$-61
2014-04-30,$-97
2014-01-31,$-117
2013-10-31,$-124
2013-07-31,$77
2013-04-30,$-68
2013-01-31,$-21
2012-10-31,$-220
2012-07-31,$-10
2012-04-30,$-19
2012-01-31,$-4
2011-10-31,$-4
2011-07-31,$-4
2011-04-30,$1
2011-01-31,$11
2010-10-31,$21
2010-07-31,$15
2010-04-30,$18
2010-01-31,$20
2009-10-31,$21
2009-07-31,$21
2009-04-30,$18
2009-01-31,$14
