Hershey Quarterly Net Income (Millions of US $),Hershey Quarterly Net Income (Millions of US $).1
2024-06-30,$181
2024-03-31,$797
2023-12-31,$349
2023-09-30,$519
2023-06-30,$407
2023-03-31,$587
2022-12-31,$396
2022-09-30,$399
2022-06-30,$316
2022-03-31,$533
2021-12-31,$336
2021-09-30,$445
2021-06-30,$301
2021-03-31,$396
2020-12-31,$291
2020-09-30,$447
2020-06-30,$269
2020-03-31,$271
2019-12-31,$207
2019-09-30,$325
2019-06-30,$313
2019-03-31,$304
2018-12-31,$337
2018-09-30,$264
2018-06-30,$227
2018-03-31,$350
2017-12-31,$181
2017-09-30,$273
2017-06-30,$204
2017-03-31,$125
2016-12-31,$117
2016-09-30,$227
2016-06-30,$146
2016-03-31,$230
2015-12-31,$213
2015-09-30,$155
2015-06-30,$-100
2015-03-31,$245
2014-12-31,$203
2014-09-30,$224
2014-06-30,$168
2014-03-31,$252
2013-12-31,$186
2013-09-30,$233
2013-06-30,$160
2013-03-31,$242
2012-12-31,$150
2012-09-30,$177
2012-06-30,$136
2012-03-31,$199
2011-12-31,$142
2011-09-30,$197
2011-06-30,$130
2011-03-31,$160
2010-12-31,$136
2010-09-30,$180
2010-06-30,$47
2010-03-31,$147
2009-12-31,$127
2009-09-30,$162
2009-06-30,$71
2009-03-31,$76
