PepsiCo Quarterly Net Income (Millions of US $),PepsiCo Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,083"
2024-03-31,"$2,042"
2023-12-31,"$1,302"
2023-09-30,"$3,092"
2023-06-30,"$2,748"
2023-03-31,"$1,932"
2022-12-31,$518
2022-09-30,"$2,702"
2022-06-30,"$1,429"
2022-03-31,"$4,261"
2021-12-31,"$1,322"
2021-09-30,"$2,224"
2021-06-30,"$2,358"
2021-03-31,"$1,714"
2020-12-31,"$1,845"
2020-09-30,"$2,291"
2020-06-30,"$1,646"
2020-03-31,"$1,338"
2019-12-31,"$1,766"
2019-09-30,"$2,100"
2019-06-30,"$2,035"
2019-03-31,"$1,413"
2018-12-31,"$6,852"
2018-09-30,"$2,498"
2018-06-30,"$1,820"
2018-03-31,"$1,343"
2017-12-31,$-710
2017-09-30,"$2,144"
2017-06-30,"$2,105"
2017-03-31,"$1,318"
2016-12-31,"$1,401"
2016-09-30,"$1,992"
2016-06-30,"$2,005"
2016-03-31,$931
2015-12-31,"$1,718"
2015-09-30,$533
2015-06-30,"$1,980"
2015-03-31,"$1,221"
2014-12-31,"$1,304"
2014-09-30,"$2,008"
2014-06-30,"$1,976"
2014-03-31,"$1,215"
2013-12-31,"$1,747"
2013-09-30,"$1,913"
2013-06-30,"$2,007"
2013-03-31,"$1,073"
2012-12-31,"$1,659"
2012-09-30,"$1,901"
2012-06-30,"$1,485"
2012-03-31,"$1,126"
2011-12-31,"$1,413"
2011-09-30,"$1,999"
2011-06-30,"$1,883"
2011-03-31,"$1,141"
2010-12-31,"$1,362"
2010-09-30,"$1,922"
2010-06-30,"$1,601"
2010-03-31,"$1,429"
2009-12-31,"$1,432"
2009-09-30,"$1,716"
2009-06-30,"$1,658"
2009-03-31,"$1,134"
