Costco Quarterly Net Income (Millions of US $),Costco Quarterly Net Income (Millions of US $).1
2024-05-31,"$1,681"
2024-02-29,"$1,743"
2023-11-30,"$1,589"
2023-08-31,"$2,160"
2023-05-31,"$1,302"
2023-02-28,"$1,466"
2022-11-30,"$1,364"
2022-08-31,"$1,868"
2022-05-31,"$1,353"
2022-02-28,"$1,299"
2021-11-30,"$1,324"
2021-08-31,"$1,670"
2021-05-31,"$1,220"
2021-02-28,$951
2020-11-30,"$1,166"
2020-08-31,"$1,389"
2020-05-31,$838
2020-02-29,$931
2019-11-30,$844
2019-08-31,"$1,097"
2019-05-31,$906
2019-02-28,$889
2018-11-30,$767
2018-08-31,"$1,043"
2018-05-31,$750
2018-02-28,$701
2017-11-30,$640
2017-08-31,$919
2017-05-31,$700
2017-02-28,$515
2016-11-30,$545
2016-08-31,$779
2016-05-31,$545
2016-02-29,$546
2015-11-30,$480
2015-08-31,$767
2015-05-31,$516
2015-02-28,$598
2014-11-30,$496
2014-08-31,$697
2014-05-31,$473
2014-02-28,$463
2013-11-30,$425
2013-08-31,$617
2013-05-31,$459
2013-02-28,$547
2012-11-30,$416
2012-08-31,$609
2012-05-31,$386
2012-02-29,$394
2011-11-30,$320
2011-08-31,$478
2011-05-31,$324
2011-02-28,$348
2010-11-30,$312
2010-08-31,$432
2010-05-31,$306
2010-02-28,$299
2009-11-30,$266
2009-08-31,$374
2009-05-31,$210
2009-02-28,$239
