Hubbell Inc Quarterly Net Income (Millions of US $),Hubbell Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$214
2024-03-31,$148
2023-12-31,$170
2023-09-30,$200
2023-06-30,$207
2023-03-31,$182
2022-12-31,$105
2022-09-30,$139
2022-06-30,$122
2022-03-31,$180
2021-12-31,$117
2021-09-30,$108
2021-06-30,$96
2021-03-31,$77
2020-12-31,$81
2020-09-30,$107
2020-06-30,$88
2020-03-31,$75
2019-12-31,$102
2019-09-30,$130
2019-06-30,$96
2019-03-31,$72
2018-12-31,$87
2018-09-30,$114
2018-06-30,$100
2018-03-31,$58
2017-12-31,$20
2017-09-30,$81
2017-06-30,$79
2017-03-31,$63
2016-12-31,$64
2016-09-30,$86
2016-06-30,$81
2016-03-31,$61
2015-12-31,$61
2015-09-30,$73
2015-06-30,$80
2015-03-31,$62
2014-12-31,$81
2014-09-30,$90
2014-06-30,$90
2014-03-31,$64
2013-12-31,$82
2013-09-30,$96
2013-06-30,$82
2013-03-31,$66
2012-12-31,$72
2012-09-30,$87
2012-06-30,$77
2012-03-31,$63
2011-12-31,$70
2011-09-30,$82
2011-06-30,$65
2011-03-31,$50
2010-12-31,$50
2010-09-30,$71
2010-06-30,$57
2010-03-31,$38
2009-12-31,$49
2009-09-30,$57
2009-06-30,$39
2009-03-31,$34
