Bath & Body Works Quarterly Net Income (Millions of US $),Bath & Body Works Quarterly Net Income (Millions of US $).1
2024-07-31,$152
2024-04-30,$87
2024-01-31,$579
2023-10-31,$119
2023-07-31,$99
2023-04-30,$81
2023-01-31,$434
2022-10-31,$91
2022-07-31,$120
2022-04-30,$155
2022-01-31,$595
2021-10-31,$88
2021-07-31,$374
2021-04-30,$277
2021-01-31,$860
2020-10-31,$331
2020-07-31,$-49
2020-04-30,$-297
2020-01-31,$-192
2019-10-31,$-252
2019-07-31,$38
2019-04-30,$40
2019-01-31,$540
2018-10-31,$-43
2018-07-31,$99
2018-04-30,$48
2018-01-31,$664
2017-10-31,$86
2017-07-31,$139
2017-04-30,$94
2017-01-31,$632
2016-10-31,$122
2016-07-31,$252
2016-04-30,$152
2016-01-31,$637
2015-10-31,$164
2015-07-31,$202
2015-04-30,$250
2015-01-31,$565
2014-10-31,$132
2014-07-31,$188
2014-04-30,$157
2014-01-31,$490
2013-10-31,$92
2013-07-31,$178
2013-04-30,$143
2013-01-31,$411
2012-10-31,$74
2012-07-31,$143
2012-04-30,$125
2012-01-31,$360
2011-10-31,$94
2011-07-31,$231
2011-04-30,$165
2011-01-31,$453
2010-10-31,$61
2010-07-31,$178
2010-04-30,$113
2010-01-31,$356
2009-10-31,$15
2009-07-31,$74
2009-04-30,$3
2009-01-31,$16
