McDonald's Quarterly Net Income (Millions of US $),McDonald's Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,022"
2024-03-31,"$1,929"
2023-12-31,"$2,040"
2023-09-30,"$2,317"
2023-06-30,"$2,310"
2023-03-31,"$1,802"
2022-12-31,"$1,903"
2022-09-30,"$1,982"
2022-06-30,"$1,188"
2022-03-31,"$1,104"
2021-12-31,"$1,639"
2021-09-30,"$2,150"
2021-06-30,"$2,219"
2021-03-31,"$1,537"
2020-12-31,"$1,377"
2020-09-30,"$1,763"
2020-06-30,$484
2020-03-31,"$1,107"
2019-12-31,"$1,572"
2019-09-30,"$1,608"
2019-06-30,"$1,517"
2019-03-31,"$1,328"
2018-12-31,"$1,415"
2018-09-30,"$1,637"
2018-06-30,"$1,496"
2018-03-31,"$1,375"
2017-12-31,$699
2017-09-30,"$1,884"
2017-06-30,"$1,395"
2017-03-31,"$1,215"
2016-12-31,"$1,193"
2016-09-30,"$1,275"
2016-06-30,"$1,093"
2016-03-31,"$1,125"
2015-12-31,"$1,206"
2015-09-30,"$1,309"
2015-06-30,"$1,202"
2015-03-31,$812
2014-12-31,"$1,098"
2014-09-30,"$1,068"
2014-06-30,"$1,387"
2014-03-31,"$1,205"
2013-12-31,"$1,397"
2013-09-30,"$1,522"
2013-06-30,"$1,397"
2013-03-31,"$1,270"
2012-12-31,"$1,396"
2012-09-30,"$1,455"
2012-06-30,"$1,347"
2012-03-31,"$1,267"
2011-12-31,"$1,377"
2011-09-30,"$1,507"
2011-06-30,"$1,410"
2011-03-31,"$1,209"
2010-12-31,"$1,242"
2010-09-30,"$1,388"
2010-06-30,"$1,226"
2010-03-31,"$1,090"
2009-12-31,"$1,217"
2009-09-30,"$1,261"
2009-06-30,"$1,094"
2009-03-31,$980
