Qorvo Quarterly Net Income (Millions of US $),Qorvo Quarterly Net Income (Millions of US $).1
2024-06-30,$0
2024-03-31,$3
2023-12-31,$-127
2023-09-30,$97
2023-06-30,$-44
2023-03-31,$-138
2022-12-31,$-16
2022-09-30,$189
2022-06-30,$69
2022-03-31,$212
2021-12-31,$216
2021-09-30,$319
2021-06-30,$286
2021-03-31,$299
2020-12-31,$201
2020-09-30,$137
2020-06-30,$97
2020-03-31,$50
2019-12-31,$161
2019-09-30,$83
2019-06-30,$40
2019-03-31,$62
2018-12-31,$70
2018-09-30,$32
2018-06-30,$-30
2018-03-31,$-13
2017-12-31,$-33
2017-09-30,$36
2017-06-30,$-31
2017-03-31,$56
2016-12-31,$-79
2016-09-30,$12
2016-06-30,$-6
2016-03-31,$-24
2015-12-31,$-11
2015-09-30,$4
2015-06-30,$2
2015-03-31,$6
2014-12-31,$88
2014-09-30,$63
2014-06-30,$39
2014-03-31,
2013-12-31,$6
2013-03-31,
