Charles River Laboratories Quarterly Net Income (Millions of US $),Charles River Laboratories Quarterly Net Income (Millions of US $).1
2024-06-30,$94
2024-03-31,$73
2023-12-31,$187
2023-09-30,$87
2023-06-30,$97
2023-03-31,$103
2022-12-31,$187
2022-09-30,$96
2022-06-30,$109
2022-03-31,$93
2021-12-31,$138
2021-09-30,$103
2021-06-30,$88
2021-03-31,$62
2020-12-31,$143
2020-09-30,$103
2020-06-30,$67
2020-03-31,$51
2019-12-31,$80
2019-09-30,$73
2019-06-30,$44
2019-03-31,$55
2018-12-31,$60
2018-09-30,$60
2018-06-30,$54
2018-03-31,$53
2017-12-31,$-30
2017-09-30,$52
2017-06-30,$54
2017-03-31,$47
2016-12-31,$45
2016-09-30,$38
2016-06-30,$35
2016-03-31,$37
2015-12-31,$32
2015-09-30,$37
2015-06-30,$49
2015-03-31,$32
2014-12-31,$27
2014-09-30,$32
2014-06-30,$35
2014-03-31,$32
2013-12-31,$19
2013-09-30,$31
2013-06-30,$27
2013-03-31,$26
2012-12-31,$18
2012-09-30,$22
2012-06-30,$30
2012-03-31,$26
2011-12-31,$27
2011-09-30,$19
2011-06-30,$32
2011-03-31,$31
2010-12-31,$-344
2010-09-30,$-25
2010-06-30,$14
2010-03-31,$17
2009-12-31,$18
2009-09-30,$37
2009-06-30,$34
2009-03-31,$25
