Edison Quarterly Net Income (Millions of US $),Edison Quarterly Net Income (Millions of US $).1
2024-06-30,$439
2024-03-31,$-11
2023-12-31,$378
2023-09-30,$155
2023-06-30,$354
2023-03-31,$310
2022-12-31,$415
2022-09-30,$-128
2022-06-30,$241
2022-03-31,$84
2021-12-31,$523
2021-09-30,$-341
2021-06-30,$318
2021-03-31,$259
2020-12-31,$526
2020-09-30,$-288
2020-06-30,$318
2020-03-31,$183
2019-12-31,$143
2019-09-30,$471
2019-06-30,$392
2019-03-31,$278
2018-12-31,"$-1,430"
2018-09-30,$513
2018-06-30,$276
2018-03-31,$218
2017-12-31,$-545
2017-09-30,$470
2017-06-30,$278
2017-03-31,$362
2016-12-31,$329
2016-09-30,$421
2016-06-30,$280
2016-03-31,$281
2015-12-31,$-79
2015-09-30,$421
2015-06-30,$379
2015-03-31,$299
2014-12-31,$420
2014-09-30,$480
2014-06-30,$536
2014-03-31,$176
2013-12-31,$300
2013-09-30,$438
2013-06-30,$-94
2013-03-31,$271
2012-12-31,$-540
2012-09-30,$190
2012-06-30,$74
2012-03-31,$93
2011-12-31,$-839
2011-09-30,$426
2011-06-30,$176
2011-03-31,$200
2010-12-31,$166
2010-09-30,$510
2010-06-30,$344
2010-03-31,$236
2009-12-31,$212
2009-09-30,$403
2009-06-30,$-16
2009-03-31,$250
