Brown-Forman Quarterly Net Income (Millions of US $),Brown-Forman Quarterly Net Income (Millions of US $).1
2024-07-31,$195
2024-04-30,$266
2024-01-31,$285
2023-10-31,$242
2023-07-31,$231
2023-04-30,$207
2023-01-31,$100
2022-10-31,$227
2022-07-31,$249
2022-04-30,$151
2022-01-31,$259
2021-10-31,$236
2021-07-31,$192
2021-04-30,$120
2021-01-31,$219
2020-10-31,$240
2020-07-31,$324
2020-04-30,$128
2020-01-31,$231
2019-10-31,$282
2019-07-31,$186
2019-04-30,$159
2019-01-31,$227
2018-10-31,$249
2018-07-31,$200
2018-04-30,$110
2018-01-31,$190
2017-10-31,$239
2017-07-31,$178
2017-04-30,$146
2017-01-31,$182
2016-10-31,$197
2016-07-31,$144
2016-04-30,$521
2016-01-31,$190
2015-10-31,$200
2015-07-31,$156
2015-04-30,$140
2015-01-31,$186
2014-10-31,$208
2014-07-31,$150
2014-04-30,$133
2014-01-31,$177
2013-10-31,$206
2013-07-31,$143
2013-04-30,$114
2013-01-31,$157
2012-10-31,$173
2012-07-31,$147
2012-04-30,$104
2012-01-31,$133
2011-10-31,$158
2011-07-31,$118
2011-04-30,$165
2011-01-31,$141
2010-10-31,$154
2010-07-31,$111
2010-04-30,$72
2010-01-31,$108
2009-10-31,$147
2009-07-31,$121
2009-04-30,$80
2009-01-31,$123
