McKesson Quarterly Net Income (Millions of US $),McKesson Quarterly Net Income (Millions of US $).1
2024-06-30,$915
2024-03-31,$791
2023-12-31,$589
2023-09-30,$664
2023-06-30,$958
2023-03-31,$787
2022-12-31,"$1,079"
2022-09-30,$926
2022-06-30,$768
2022-03-31,$368
2021-12-31,$-7
2021-09-30,$267
2021-06-30,$486
2021-03-31,$666
2020-12-31,"$-6,226"
2020-09-30,$577
2020-06-30,$444
2020-03-31,"$1,021"
2019-12-31,$186
2019-09-30,$-730
2019-06-30,$423
2019-03-31,$-796
2018-12-31,$469
2018-09-30,$499
2018-06-30,$-138
2018-03-31,"$-1,146"
2017-12-31,$903
2017-09-30,$1
2017-06-30,$309
2017-03-31,"$3,588"
2016-12-31,$633
2016-09-30,$307
2016-06-30,$542
2016-03-31,$431
2015-12-31,$634
2015-09-30,$617
2015-06-30,$576
2015-03-31,$132
2014-12-31,$472
2014-09-30,$469
2014-06-30,$403
2014-03-31,$370
2013-12-31,$65
2013-09-30,$404
2013-06-30,$424
2013-03-31,$259
2012-12-31,$298
2012-09-30,$401
2012-06-30,$380
2012-03-31,$521
2011-12-31,$300
2011-09-30,$296
2011-06-30,$286
2011-03-31,$422
2010-12-31,$155
2010-09-30,$327
2010-06-30,$298
2010-03-31,$348
2009-12-31,$326
2009-09-30,$301
2009-06-30,$288
2009-03-31,$281
