ON Semiconductor Quarterly Net Income (Millions of US $),ON Semiconductor Quarterly Net Income (Millions of US $).1
2024-06-30,$338
2024-03-31,$453
2023-12-31,$563
2023-09-30,$583
2023-06-30,$577
2023-03-31,$462
2022-12-31,$605
2022-09-30,$312
2022-06-30,$456
2022-03-31,$531
2021-12-31,$426
2021-09-30,$310
2021-06-30,$184
2021-03-31,$90
2020-12-31,$89
2020-09-30,$161
2020-06-30,$-1
2020-03-31,$-14
2019-12-31,$57
2019-09-30,$-61
2019-06-30,$102
2019-03-31,$114
2018-12-31,$166
2018-09-30,$167
2018-06-30,$155
2018-03-31,$140
2017-12-31,$530
2017-09-30,$109
2017-06-30,$94
2017-03-31,$78
2016-12-31,$111
2016-09-30,$10
2016-06-30,$25
2016-03-31,$36
2015-12-31,$54
2015-09-30,$46
2015-06-30,$51
2015-03-31,$55
2014-12-31,$-1
2014-09-30,$41
2014-06-30,$94
2014-03-31,$56
2013-12-31,$28
2013-09-30,$52
2013-06-30,$48
2013-03-31,$23
2012-12-31,$-145
2012-09-30,$13
2012-06-30,$7
2012-03-31,$28
2011-12-31,$-9
2011-09-30,$-49
2011-06-30,$34
2011-03-31,$36
2010-12-31,$61
2010-09-30,$88
2010-06-30,$79
2010-03-31,$63
2009-12-31,$68
2009-09-30,$30
2009-06-30,$-3
2009-03-31,$-34
