Albemarle Quarterly Net Income (Millions of US $),Albemarle Quarterly Net Income (Millions of US $).1
2024-06-30,$-230
2024-03-31,$-9
2023-12-31,$-618
2023-09-30,$303
2023-06-30,$650
2023-03-31,"$1,239"
2022-12-31,"$1,132"
2022-09-30,$897
2022-06-30,$407
2022-03-31,$253
2021-12-31,$-4
2021-09-30,$-393
2021-06-30,$425
2021-03-31,$96
2020-12-31,$85
2020-09-30,$98
2020-06-30,$86
2020-03-31,$107
2019-12-31,$90
2019-09-30,$155
2019-06-30,$154
2019-03-31,$134
2018-12-31,$130
2018-09-30,$130
2018-06-30,$302
2018-03-31,$132
2017-12-31,$-218
2017-09-30,$119
2017-06-30,$103
2017-03-31,$51
2016-12-31,$602
2016-09-30,$128
2016-06-30,$-315
2016-03-31,$228
2015-12-31,$174
2015-09-30,$65
2015-06-30,$52
2015-03-31,$43
2014-12-31,$-19
2014-09-30,$73
2014-06-30,$22
2014-03-31,$57
2013-12-31,$156
2013-09-30,$91
2013-06-30,$83
2013-03-31,$84
2012-12-31,$38
2012-09-30,$109
2012-06-30,$50
2012-03-31,$114
2011-12-31,$55
2011-09-30,$116
2011-06-30,$114
2011-03-31,$107
2010-12-31,$77
2010-09-30,$94
2010-06-30,$82
2010-03-31,$63
2009-12-31,$62
2009-09-30,$52
2009-06-30,$38
2009-03-31,$25
