ASML Holding Quarterly Net Income (Millions of US $),ASML Holding Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,699"
2024-03-31,"$1,329"
2023-12-31,"$2,215"
2023-09-30,"$2,061"
2023-06-30,"$2,109"
2023-03-31,"$2,099"
2022-12-31,"$1,928"
2022-09-30,"$1,714"
2022-06-30,"$1,503"
2022-03-31,$780
2021-12-31,"$2,052"
2021-09-30,"$2,052"
2021-06-30,"$1,251"
2021-03-31,"$1,605"
2020-12-31,"$1,561"
2020-09-30,"$1,241"
2020-06-30,$827
2020-03-31,$431
2019-12-31,"$1,268"
2019-09-30,$697
2019-06-30,$535
2019-03-31,$404
2018-12-31,$910
2018-09-30,$791
2018-06-30,$696
2018-03-31,$663
2017-12-31,$745
2017-09-30,$655
2017-06-30,$513
2017-03-31,$482
2016-12-31,$569
2016-09-30,$442
2016-06-30,$400
2016-03-31,$218
2015-12-31,$318
2015-09-30,$359
2015-06-30,$409
2015-03-31,$455
2014-12-31,$353
2014-09-30,$324
2014-06-30,$543
2014-03-31,$274
2013-12-31,$652
2013-09-30,$261
2013-06-30,$289
2013-03-31,$127
2012-12-31,$396
2012-09-30,$360
2012-06-30,$358
2012-03-31,$370
2011-12-31,$364
2011-09-30,$483
2011-06-30,$604
2011-03-31,$571
2010-12-31,$543
2010-09-30,$346
2010-06-30,$302
2010-03-31,$146
2009-12-31,$72
2009-09-30,$28
2009-06-30,$-145
2009-03-31,$-156
