Workday Quarterly Net Income (Millions of US $),Workday Quarterly Net Income (Millions of US $).1
2024-07-31,$132
2024-04-30,$107
2024-01-31,"$1,188"
2023-10-31,$114
2023-07-31,$79
2023-04-30,$0
2023-01-31,$-126
2022-10-31,$-75
2022-07-31,$-64
2022-04-30,$-102
2022-01-31,$-74
2021-10-31,$43
2021-07-31,$106
2021-04-30,$-47
2021-01-31,$-72
2020-10-31,$-24
2020-07-31,$-28
2020-04-30,$-158
2020-01-31,$-128
2019-10-31,$-116
2019-07-31,$-121
2019-04-30,$-116
2019-01-31,$-104
2018-10-31,$-153
2018-07-31,$-86
2018-04-30,$-74
2018-01-31,$-89
2017-10-31,$-86
2017-07-31,$-83
2017-04-30,$-64
2017-01-31,$-82
2016-10-31,$-114
2016-07-31,$-108
2016-04-30,$-81
2016-01-31,$-66
2015-10-31,$-78
2015-07-31,$-69
2015-04-30,$-62
2015-01-31,$-59
2014-10-31,$-60
2014-07-31,$-69
2014-04-30,$-59
2014-01-31,$-56
2013-10-31,$-48
2013-07-31,$-36
2013-04-30,$-33
2013-01-31,$-31
2012-10-31,$-41
2012-07-31,$-27
2012-04-30,$-20
2012-01-31,
2011-10-31,$-20
2011-01-31,
2010-01-31,
