Public Storage Quarterly Net Income (Millions of US $),Public Storage Quarterly Net Income (Millions of US $).1
2024-06-30,$468
2024-03-31,$459
2023-12-31,$390
2023-09-30,$563
2023-06-30,$528
2023-03-31,$468
2022-12-31,$363
2022-09-30,"$2,712"
2022-06-30,$603
2022-03-31,$464
2021-12-31,$558
2021-09-30,$442
2021-06-30,$346
2021-03-31,$386
2020-12-31,$292
2020-09-30,$247
2020-06-30,$246
2020-03-31,$313
2019-12-31,$327
2019-09-30,$337
2019-06-30,$306
2019-03-31,$302
2018-12-31,$530
2018-09-30,$323
2018-06-30,$348
2018-03-31,$288
2017-12-31,$334
2017-09-30,$280
2017-06-30,$277
2017-03-31,$281
2016-12-31,$353
2016-09-30,$309
2016-06-30,$281
2016-03-31,$241
2015-12-31,$303
2015-09-30,$274
2015-06-30,$264
2015-03-31,$213
2014-12-31,$284
2014-09-30,$232
2014-06-30,$218
2014-03-31,$174
2013-12-31,$244
2013-09-30,$231
2013-06-30,$208
2013-03-31,$162
2012-12-31,$210
2012-09-30,$202
2012-06-30,$132
2012-03-31,$125
2011-12-31,$164
2011-09-30,$118
2011-06-30,$132
2011-03-31,$148
2010-12-31,$121
2010-09-30,$182
2010-06-30,$61
2010-03-31,$35
2009-12-31,$117
2009-09-30,$173
2009-06-30,$135
2009-03-31,$159
