Boston Scientific Quarterly Net Income (Millions of US $),Boston Scientific Quarterly Net Income (Millions of US $).1
2024-06-30,$324
2024-03-31,$495
2023-12-31,$504
2023-09-30,$505
2023-06-30,$261
2023-03-31,$300
2022-12-31,$125
2022-09-30,$174
2022-06-30,$246
2022-03-31,$97
2021-12-31,$81
2021-09-30,$405
2021-06-30,$172
2021-03-31,$327
2020-12-31,$196
2020-09-30,$-169
2020-06-30,$-153
2020-03-31,$11
2019-12-31,"$3,996"
2019-09-30,$126
2019-06-30,$154
2019-03-31,$424
2018-12-31,$386
2018-09-30,$432
2018-06-30,$555
2018-03-31,$298
2017-12-31,$-615
2017-09-30,$283
2017-06-30,$146
2017-03-31,$290
2016-12-31,$124
2016-09-30,$228
2016-06-30,$-207
2016-03-31,$202
2015-12-31,$-142
2015-09-30,$-198
2015-06-30,$102
2015-03-31,$-1
2014-12-31,$-299
2014-09-30,$43
2014-06-30,$4
2014-03-31,$133
2013-12-31,$108
2013-09-30,$-5
2013-06-30,$130
2013-03-31,$-354
2012-12-31,$61
2012-09-30,$-664
2012-06-30,"$-3,578"
2012-03-31,$113
2011-12-31,$107
2011-09-30,$142
2011-06-30,$146
2011-03-31,$46
2010-12-31,$236
2010-09-30,$190
2010-06-30,$98
2010-03-31,"$-1,589"
2009-12-31,"$-1,076"
2009-09-30,$-94
2009-06-30,$158
2009-03-31,$-13
