Quanta Services Quarterly Net Income (Millions of US $),Quanta Services Quarterly Net Income (Millions of US $).1
2024-06-30,$188
2024-03-31,$118
2023-12-31,$211
2023-09-30,$273
2023-06-30,$166
2023-03-31,$95
2022-12-31,$163
2022-09-30,$156
2022-06-30,$88
2022-03-31,$85
2021-12-31,$105
2021-09-30,$174
2021-06-30,$117
2021-03-31,$90
2020-12-31,$170
2020-09-30,$163
2020-06-30,$74
2020-03-31,$39
2019-12-31,$118
2019-09-30,$136
2019-06-30,$27
2019-03-31,$120
2018-12-31,$57
2018-09-30,$125
2018-06-30,$74
2018-03-31,$38
2017-12-31,$114
2017-09-30,$89
2017-06-30,$64
2017-03-31,$48
2016-12-31,$88
2016-09-30,$74
2016-06-30,$17
2016-03-31,$20
2015-12-31,$-5
2015-09-30,$216
2015-06-30,$46
2015-03-31,$53
2014-12-31,$67
2014-09-30,$95
2014-06-30,$81
2014-03-31,$54
2013-12-31,$167
2013-09-30,$93
2013-06-30,$70
2013-03-31,$72
2012-12-31,$99
2012-09-30,$96
2012-06-30,$66
2012-03-31,$46
2011-12-31,$66
2011-09-30,$52
2011-06-30,$32
2011-03-31,$-18
2010-12-31,$34
2010-09-30,$63
2010-06-30,$33
2010-03-31,$24
2009-12-31,$44
2009-09-30,$63
2009-06-30,$33
2009-03-31,$21
