Target Quarterly Net Income (Millions of US $),Target Quarterly Net Income (Millions of US $).1
2024-07-31,"$1,192"
2024-04-30,$942
2024-01-31,"$1,382"
2023-10-31,$971
2023-07-31,$835
2023-04-30,$950
2023-01-31,$876
2022-10-31,$712
2022-07-31,$183
2022-04-30,"$1,009"
2022-01-31,"$1,544"
2021-10-31,"$1,488"
2021-07-31,"$1,817"
2021-04-30,"$2,097"
2021-01-31,"$1,380"
2020-10-31,"$1,014"
2020-07-31,"$1,690"
2020-04-30,$284
2020-01-31,$834
2019-10-31,$714
2019-07-31,$938
2019-04-30,$795
2019-01-31,$798
2018-10-31,$622
2018-07-31,$799
2018-04-30,$718
2018-01-31,"$1,087"
2017-10-31,$478
2017-07-31,$671
2017-04-30,$678
2017-01-31,$814
2016-10-31,$608
2016-07-31,$680
2016-04-30,$632
2016-01-31,"$1,426"
2015-10-31,$549
2015-07-31,$753
2015-04-30,$635
2015-01-31,"$-2,640"
2014-10-31,$352
2014-07-31,$234
2014-04-30,$418
2014-01-31,$521
2013-10-31,$341
2013-07-31,$611
2013-04-30,$498
2013-01-31,$961
2012-10-31,$637
2012-07-31,$704
2012-04-30,$697
2012-01-31,$981
2011-10-31,$555
2011-07-31,$704
2011-04-30,$689
2011-01-31,"$1,035"
2010-10-31,$535
2010-07-31,$679
2010-04-30,$671
2010-01-31,$936
2009-10-31,$436
2009-07-31,$594
2009-04-30,$522
2009-01-31,$609
