International Paper Quarterly Net Income (Millions of US $),International Paper Quarterly Net Income (Millions of US $).1
2024-06-30,$498
2024-03-31,$56
2023-12-31,$-284
2023-09-30,$165
2023-06-30,$235
2023-03-31,$172
2022-12-31,$-318
2022-09-30,$951
2022-06-30,$511
2022-03-31,$360
2021-12-31,$107
2021-09-30,$864
2021-06-30,$432
2021-03-31,$349
2020-12-31,$153
2020-09-30,$204
2020-06-30,$266
2020-03-31,$-141
2019-12-31,$165
2019-09-30,$344
2019-06-30,$292
2019-03-31,$424
2018-12-31,$316
2018-09-30,$562
2018-06-30,$405
2018-03-31,$729
2017-12-31,"$1,460"
2017-09-30,$395
2017-06-30,$80
2017-03-31,$209
2016-12-31,$218
2016-09-30,$312
2016-06-30,$40
2016-03-31,$334
2015-12-31,$178
2015-09-30,$220
2015-06-30,$227
2015-03-31,$313
2014-12-31,$134
2014-09-30,$355
2014-06-30,$161
2014-03-31,$-95
2013-12-31,$436
2013-09-30,$382
2013-06-30,$259
2013-03-31,$318
2012-12-31,$235
2012-09-30,$237
2012-06-30,$134
2012-03-31,$188
2011-12-31,$281
2011-09-30,$468
2011-06-30,$219
2011-03-31,$354
2010-12-31,$363
2010-09-30,$397
2010-06-30,$93
2010-03-31,$-162
2009-12-31,$-101
2009-09-30,$371
2009-06-30,$136
2009-03-31,$257
