Mastercard Quarterly Net Income (Millions of US $),Mastercard Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,258"
2024-03-31,"$3,011"
2023-12-31,"$2,791"
2023-09-30,"$3,198"
2023-06-30,"$2,845"
2023-03-31,"$2,361"
2022-12-31,"$2,525"
2022-09-30,"$2,499"
2022-06-30,"$2,275"
2022-03-31,"$2,631"
2021-12-31,"$2,379"
2021-09-30,"$2,414"
2021-06-30,"$2,066"
2021-03-31,"$1,828"
2020-12-31,"$1,785"
2020-09-30,"$1,513"
2020-06-30,"$1,420"
2020-03-31,"$1,693"
2019-12-31,"$2,100"
2019-09-30,"$2,108"
2019-06-30,"$2,048"
2019-03-31,"$1,862"
2018-12-31,$899
2018-09-30,"$1,899"
2018-06-30,"$1,569"
2018-03-31,"$1,492"
2017-12-31,$227
2017-09-30,"$1,430"
2017-06-30,"$1,177"
2017-03-31,"$1,081"
2016-12-31,$933
2016-09-30,"$1,184"
2016-06-30,$983
2016-03-31,$959
2015-12-31,$890
2015-09-30,$977
2015-06-30,$921
2015-03-31,"$1,020"
2014-12-31,$801
2014-09-30,"$1,015"
2014-06-30,$931
2014-03-31,$870
2013-12-31,$623
2013-09-30,$879
2013-06-30,$848
2013-03-31,$766
2012-12-31,$605
2012-09-30,$772
2012-06-30,$700
2012-03-31,$682
2011-12-31,$19
2011-09-30,$717
2011-06-30,$608
2011-03-31,$562
2010-12-31,$412
2010-09-30,$518
2010-06-30,$458
2010-03-31,$455
2009-12-31,$295
2009-09-30,$452
2009-06-30,$349
2009-03-31,$367
