Thermo Fisher Scientific Quarterly Net Income (Millions of US $),Thermo Fisher Scientific Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,548"
2024-03-31,"$1,328"
2023-12-31,"$1,630"
2023-09-30,"$1,715"
2023-06-30,"$1,361"
2023-03-31,"$1,289"
2022-12-31,"$1,576"
2022-09-30,"$1,495"
2022-06-30,"$1,664"
2022-03-31,"$2,215"
2021-12-31,"$1,658"
2021-09-30,"$1,902"
2021-06-30,"$1,828"
2021-03-31,"$2,337"
2020-12-31,"$2,498"
2020-09-30,"$1,933"
2020-06-30,"$1,156"
2020-03-31,$788
2019-12-31,"$1,002"
2019-09-30,$760
2019-06-30,"$1,119"
2019-03-31,$815
2018-12-31,$898
2018-09-30,$709
2018-06-30,$752
2018-03-31,$579
2017-12-31,$528
2017-09-30,$534
2017-06-30,$612
2017-03-31,$551
2016-12-31,$630
2016-09-30,$474
2016-06-30,$517
2016-03-31,$402
2015-12-31,$602
2015-09-30,$476
2015-06-30,$512
2015-03-31,$385
2014-12-31,$601
2014-09-30,$472
2014-06-30,$279
2014-03-31,$543
2013-12-31,$342
2013-09-30,$318
2013-06-30,$277
2013-03-31,$336
2012-12-31,$376
2012-09-30,$290
2012-06-30,$234
2012-03-31,$277
2011-12-31,$289
2011-09-30,$265
2011-06-30,$523
2011-03-31,$252
2010-12-31,$297
2010-09-30,$269
2010-06-30,$237
2010-03-31,$232
2009-12-31,$273
2009-09-30,$221
2009-06-30,$207
2009-03-31,$149
