Rollins Quarterly Net Income (Millions of US $),Rollins Quarterly Net Income (Millions of US $).1
2024-06-30,$129
2024-03-31,$94
2023-12-31,$109
2023-09-30,$128
2023-06-30,$110
2023-03-31,$88
2022-12-31,$84
2022-09-30,$109
2022-06-30,$102
2022-03-31,$74
2021-12-31,$71
2021-09-30,$94
2021-06-30,$99
2021-03-31,$93
2020-12-31,$69
2020-09-30,$80
2020-06-30,$75
2020-03-31,$43
2019-12-31,$51
2019-09-30,$44
2019-06-30,$64
2019-03-31,$44
2018-12-31,$51
2018-09-30,$67
2018-06-30,$66
2018-03-31,$49
2017-12-31,$34
2017-09-30,$51
2017-06-30,$54
2017-03-31,$40
2016-12-31,$38
2016-09-30,$50
2016-06-30,$48
2016-03-31,$32
2015-12-31,$32
2015-09-30,$45
2015-06-30,$45
2015-03-31,$30
2014-12-31,$30
2014-09-30,$41
2014-06-30,$41
2014-03-31,$26
2013-12-31,$28
2013-09-30,$36
2013-06-30,$36
2013-03-31,$23
2012-12-31,$23
2012-09-30,$32
2012-06-30,$33
2012-03-31,$23
2011-12-31,$22
2011-09-30,$29
2011-06-30,$31
2011-03-31,$19
2010-12-31,$19
2010-09-30,$26
2010-06-30,$28
2010-03-31,$18
2009-12-31,$20
2009-09-30,$23
2009-06-30,$25
2009-03-31,$16
