NetApp Quarterly Net Income (Millions of US $),NetApp Quarterly Net Income (Millions of US $).1
2024-07-31,$248
2024-04-30,$291
2024-01-31,$313
2023-10-31,$233
2023-07-31,$149
2023-04-30,$245
2023-01-31,$65
2022-10-31,$750
2022-07-31,$214
2022-04-30,$259
2022-01-31,$252
2021-10-31,$224
2021-07-31,$202
2021-04-30,$334
2021-01-31,$182
2020-10-31,$137
2020-07-31,$77
2020-04-30,$196
2020-01-31,$277
2019-10-31,$243
2019-07-31,$103
2019-04-30,$396
2019-01-31,$249
2018-10-31,$241
2018-07-31,$283
2018-04-30,$290
2018-01-31,$-479
2017-10-31,$174
2017-07-31,$131
2017-04-30,$162
2017-01-31,$146
2016-10-31,$109
2016-07-31,$64
2016-04-30,$-8
2016-01-31,$153
2015-10-31,$114
2015-07-31,$-30
2015-04-30,$135
2015-01-31,$177
2014-10-31,$160
2014-07-31,$88
2014-04-30,$198
2014-01-31,$192
2013-10-31,$167
2013-07-31,$82
2013-04-30,$174
2013-01-31,$158
2012-10-31,$110
2012-07-31,$64
2012-04-30,$181
2012-01-31,$120
2011-10-31,$166
2011-07-31,$140
2011-04-30,$161
2011-01-31,$186
2010-10-31,$175
2010-07-31,$151
2010-04-30,$145
2010-01-31,$108
2009-10-31,$96
2009-07-31,$52
2009-04-30,$68
2009-01-31,$-82
