Carnival Quarterly Net Income (Millions of US $),Carnival Quarterly Net Income (Millions of US $).1
2024-05-31,$92
2024-02-29,$-214
2023-11-30,$-48
2023-08-31,"$1,074"
2023-05-31,$-407
2023-02-28,$-693
2022-11-30,"$-1,598"
2022-08-31,$-770
2022-05-31,"$-1,834"
2022-02-28,"$-1,891"
2021-11-30,"$-2,620"
2021-08-31,"$-2,836"
2021-05-31,"$-2,072"
2021-02-28,"$-1,973"
2020-11-30,"$-2,223"
2020-08-31,"$-2,858"
2020-05-31,"$-4,374"
2020-02-29,$-781
2019-11-30,$423
2019-08-31,"$1,780"
2019-05-31,$451
2019-02-28,$336
2018-11-30,$493
2018-08-31,"$1,707"
2018-05-31,$561
2018-02-28,$391
2017-11-30,$546
2017-08-31,"$1,329"
2017-05-31,$379
2017-02-28,$352
2016-11-30,$608
2016-08-31,"$1,424"
2016-05-31,$605
2016-02-29,$142
2015-11-30,$270
2015-08-31,"$1,216"
2015-05-31,$222
2015-02-28,$49
2014-11-30,$-103
2014-08-31,"$1,241"
2014-05-31,$98
2014-02-28,$-20
2013-11-30,$43
2013-08-31,$934
2013-05-31,$41
2013-02-28,$37
2012-11-30,$93
2012-08-31,"$1,330"
2012-05-31,$14
2012-02-29,$-139
2011-11-30,$217
2011-08-31,"$1,337"
2011-05-31,$206
2011-02-28,$152
2010-11-30,$248
2010-08-31,"$1,303"
2010-05-31,$252
2010-02-28,$175
2009-11-30,$193
2009-08-31,"$1,073"
2009-05-31,$264
2009-02-28,$260
