IDEX Quarterly Net Income (Millions of US $),IDEX Quarterly Net Income (Millions of US $).1
2024-06-30,$141
2024-03-31,$121
2023-12-31,$109
2023-09-30,$209
2023-06-30,$139
2023-03-31,$140
2022-12-31,$130
2022-09-30,$179
2022-06-30,$138
2022-03-31,$140
2021-12-31,$119
2021-09-30,$116
2021-06-30,$102
2021-03-31,$113
2020-12-31,$101
2020-09-30,$104
2020-06-30,$71
2020-03-31,$102
2019-12-31,$97
2019-09-30,$105
2019-06-30,$113
2019-03-31,$110
2018-12-31,$98
2018-09-30,$106
2018-06-30,$107
2018-03-31,$99
2017-12-31,$94
2017-09-30,$84
2017-06-30,$84
2017-03-31,$76
2016-12-31,$57
2016-09-30,$70
2016-06-30,$76
2016-03-31,$68
2015-12-31,$68
2015-09-30,$80
2015-06-30,$70
2015-03-31,$66
2014-12-31,$62
2014-09-30,$71
2014-06-30,$72
2014-03-31,$75
2013-12-31,$68
2013-09-30,$64
2013-06-30,$63
2013-03-31,$61
2012-12-31,$-119
2012-09-30,$50
2012-06-30,$54
2012-03-31,$52
2011-12-31,$47
2011-09-30,$48
2011-06-30,$50
2011-03-31,$48
2010-12-31,$42
2010-09-30,$39
2010-06-30,$40
2010-03-31,$37
2009-12-31,$33
2009-09-30,$30
2009-06-30,$28
2009-03-31,$23
