Constellation Brands Inc Quarterly Net Income (Millions of US $),Constellation Brands Inc Quarterly Net Income (Millions of US $).1
2024-05-31,$877
2024-02-29,$392
2023-11-30,$509
2023-08-31,$690
2023-05-31,$136
2023-02-28,$223
2022-11-30,$468
2022-08-31,"$-1,151"
2022-05-31,$390
2022-02-28,$395
2021-11-30,$471
2021-08-31,$2
2021-05-31,$-908
2021-02-28,$383
2020-11-30,"$1,281"
2020-08-31,$512
2020-05-31,$-178
2020-02-29,$398
2019-11-30,$360
2019-08-31,$-525
2019-05-31,$-245
2019-02-28,"$1,240"
2018-11-30,$303
2018-08-31,"$1,150"
2018-05-31,$744
2018-02-28,$911
2017-11-30,$493
2017-08-31,$502
2017-05-31,$399
2017-02-28,$446
2016-11-30,$406
2016-08-31,$359
2016-05-31,$318
2016-02-29,$243
2015-11-30,$271
2015-08-31,$302
2015-05-31,$239
2015-02-28,$215
2014-11-30,$222
2014-08-31,$196
2014-05-31,$207
2014-02-28,$157
2013-11-30,$211
2013-08-31,"$1,522"
2013-05-31,$53
2013-02-28,$82
2012-11-30,$110
2012-08-31,$125
2012-05-31,$72
2012-02-29,$103
2011-11-30,$105
2011-08-31,$163
2011-05-31,$75
2011-02-28,$280
2010-11-30,$139
2010-08-31,$91
2010-05-31,$49
2010-02-28,$-51
2009-11-30,$44
2009-08-31,$100
2009-05-31,$7
2009-02-28,$-407
