Axon Enterprise Quarterly Net Income (Millions of US $),Axon Enterprise Quarterly Net Income (Millions of US $).1
2024-06-30,$41
2024-03-31,$133
2023-12-31,$57
2023-09-30,$59
2023-06-30,$12
2023-03-31,$45
2022-12-31,$29
2022-09-30,$12
2022-06-30,$51
2022-03-31,$55
2021-12-31,$-14
2021-09-30,$49
2021-06-30,$-47
2021-03-31,$-48
2020-12-31,$26
2020-09-30,$-1
2020-06-30,$-31
2020-03-31,$4
2019-12-31,$-12
2019-09-30,$6
2019-06-30,$1
2019-03-31,$6
2018-12-31,$2
2018-09-30,$6
2018-06-30,$8
2018-03-31,$13
2017-12-31,$-2
2017-09-30,$0
2017-06-30,$2
2017-03-31,$5
2016-12-31,$6
2016-09-30,$4
2016-06-30,$4
2016-03-31,$3
2015-12-31,$5
2015-09-30,$2
2015-06-30,$6
2015-03-31,$7
2014-12-31,$5
2014-09-30,$8
2014-06-30,$4
2014-03-31,$3
2013-12-31,$5
2013-09-30,$5
2013-06-30,$4
2013-03-31,$3
2012-12-31,$4
2012-09-30,$4
2012-06-30,$3
2012-03-31,$4
2011-12-31,$-6
2011-09-30,$1
2011-06-30,$-2
2011-03-31,$0
2010-12-31,$-0
2010-09-30,$-2
2010-06-30,$-1
2010-03-31,$-0
2009-12-31,$4
2009-09-30,$-3
2009-06-30,$-1
2009-03-31,$-0
