Western Digital Quarterly Net Income (Millions of US $),Western Digital Quarterly Net Income (Millions of US $).1
2024-06-30,$36
2024-03-31,$113
2023-12-31,$-301
2023-09-30,$-700
2023-06-30,$-704
2023-03-31,$-580
2022-12-31,$-451
2022-09-30,$27
2022-06-30,$347
2022-03-31,$25
2021-12-31,$564
2021-09-30,$610
2021-06-30,$622
2021-03-31,$197
2020-12-31,$62
2020-09-30,$-60
2020-06-30,$148
2020-03-31,$17
2019-12-31,$-139
2019-09-30,$-276
2019-06-30,$-197
2019-03-31,$-581
2018-12-31,$-487
2018-09-30,$511
2018-06-30,$756
2018-03-31,$61
2017-12-31,$-823
2017-09-30,$681
2017-06-30,$280
2017-03-31,$248
2016-12-31,$235
2016-09-30,$-366
2016-06-30,$-366
2016-03-31,$74
2015-12-31,$251
2015-09-30,$283
2015-06-30,$220
2015-03-31,$384
2014-12-31,$438
2014-09-30,$423
2014-06-30,$317
2014-03-31,$375
2013-12-31,$430
2013-09-30,$495
2013-06-30,$-265
2013-03-31,$391
2012-12-31,$335
2012-09-30,$519
2012-06-30,$745
2012-03-31,$483
2011-12-31,$145
2011-09-30,$239
2011-06-30,$158
2011-03-31,$146
2010-12-31,$225
2010-09-30,$197
2010-06-30,$265
2010-03-31,$400
2009-12-31,$429
2009-09-30,$288
2009-06-30,$195
2009-03-31,$50
