Boeing Quarterly Net Income (Millions of US $),Boeing Quarterly Net Income (Millions of US $).1
2024-06-30,"$-1,439"
2024-03-31,$-343
2023-12-31,$-23
2023-09-30,"$-1,636"
2023-06-30,$-149
2023-03-31,$-414
2022-12-31,$-634
2022-09-30,"$-3,275"
2022-06-30,$193
2022-03-31,"$-1,219"
2021-12-31,"$-4,143"
2021-09-30,$-109
2021-06-30,$587
2021-03-31,$-537
2020-12-31,"$-8,420"
2020-09-30,$-449
2020-06-30,"$-2,376"
2020-03-31,$-628
2019-12-31,"$-1,007"
2019-09-30,"$1,166"
2019-06-30,"$-2,942"
2019-03-31,"$2,147"
2018-12-31,"$3,422"
2018-09-30,"$2,361"
2018-06-30,"$2,196"
2018-03-31,"$2,474"
2017-12-31,"$3,318"
2017-09-30,"$1,808"
2017-06-30,"$1,749"
2017-03-31,"$1,577"
2016-12-31,"$1,772"
2016-09-30,"$2,276"
2016-06-30,$-234
2016-03-31,"$1,217"
2015-12-31,"$1,027"
2015-09-30,"$1,701"
2015-06-30,"$1,110"
2015-03-31,"$1,334"
2014-12-31,"$1,465"
2014-09-30,"$1,360"
2014-06-30,"$1,652"
2014-03-31,$963
2013-12-31,"$1,232"
2013-09-30,"$1,156"
2013-06-30,"$1,087"
2013-03-31,"$1,103"
2012-12-31,$985
2012-09-30,"$1,029"
2012-06-30,$966
2012-03-31,$920
2011-12-31,"$1,384"
2011-09-30,"$1,098"
2011-06-30,$941
2011-03-31,$586
2010-12-31,"$1,155"
2010-09-30,$837
2010-06-30,$787
2010-03-31,$519
2009-12-31,"$1,268"
2009-09-30,"$-1,564"
2009-06-30,$998
2009-03-31,$610
