Sempra Energy Quarterly Net Income (Millions of US $),Sempra Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$713
2024-03-31,$801
2023-12-31,$737
2023-09-30,$721
2023-06-30,$603
2023-03-31,$969
2022-12-31,$438
2022-09-30,$485
2022-06-30,$559
2022-03-31,$612
2021-12-31,$604
2021-09-30,$-648
2021-06-30,$424
2021-03-31,$874
2020-12-31,$414
2020-09-30,$351
2020-06-30,"$2,239"
2020-03-31,$760
2019-12-31,$447
2019-09-30,$813
2019-06-30,$354
2019-03-31,$441
2018-12-31,$864
2018-09-30,$274
2018-06-30,$-561
2018-03-31,$347
2017-12-31,$-501
2017-09-30,$57
2017-06-30,$259
2017-03-31,$441
2016-12-31,$379
2016-09-30,$622
2016-06-30,$16
2016-03-31,$353
2015-12-31,$369
2015-09-30,$248
2015-06-30,$295
2015-03-31,$437
2014-12-31,$297
2014-09-30,$348
2014-06-30,$269
2014-03-31,$247
2013-12-31,$282
2013-09-30,$296
2013-06-30,$245
2013-03-31,$178
2012-12-31,$293
2012-09-30,$268
2012-06-30,$62
2012-03-31,$236
2011-12-31,$285
2011-09-30,$289
2011-06-30,$503
2011-03-31,$254
2010-12-31,$250
2010-09-30,$131
2010-06-30,$222
2010-03-31,$106
2009-12-31,$288
2009-09-30,$317
2009-06-30,$198
2009-03-31,$316
