Lululemon Athletica Inc Quarterly Net Income (Millions of US $),Lululemon Athletica Inc Quarterly Net Income (Millions of US $).1
2024-04-30,$321
2024-01-31,$669
2023-10-31,$249
2023-07-31,$342
2023-04-30,$290
2023-01-31,$120
2022-10-31,$255
2022-07-31,$290
2022-04-30,$190
2022-01-31,$435
2021-10-31,$188
2021-07-31,$208
2021-04-30,$145
2021-01-31,$330
2020-10-31,$144
2020-07-31,$87
2020-04-30,$29
2020-01-31,$298
2019-10-31,$126
2019-07-31,$125
2019-04-30,$97
2019-01-31,$218
2018-10-31,$94
2018-07-31,$96
2018-04-30,$75
2018-01-31,$120
2017-10-31,$59
2017-07-31,$49
2017-04-30,$31
2017-01-31,$136
2016-10-31,$68
2016-07-31,$54
2016-04-30,$45
2016-01-31,$117
2015-10-31,$53
2015-07-31,$48
2015-04-30,$48
2015-01-31,$111
2014-10-31,$60
2014-07-31,$49
2014-04-30,$19
2014-01-31,$110
2013-10-31,$66
2013-07-31,$56
2013-04-30,$47
2013-01-31,$109
2012-10-31,$57
2012-07-31,$57
2012-04-30,$47
2012-01-31,$74
2011-10-31,$39
2011-07-31,$38
2011-04-30,$33
2011-01-31,$55
2010-10-31,$26
2010-07-31,$22
2010-04-30,$20
2010-01-31,$28
2009-10-31,$14
2009-07-31,$9
2009-04-30,$7
2009-01-31,$11
