Air Products And Chemicals Quarterly Net Income (Millions of US $),Air Products And Chemicals Quarterly Net Income (Millions of US $).1
2024-06-30,$697
2024-03-31,$572
2023-12-31,$609
2023-09-30,$693
2023-06-30,$596
2023-03-31,$440
2022-12-31,$572
2022-09-30,$583
2022-06-30,$582
2022-03-31,$531
2021-12-31,$560
2021-09-30,$610
2021-06-30,$534
2021-03-31,$473
2020-12-31,$482
2020-09-30,$487
2020-06-30,$447
2020-03-31,$478
2019-12-31,$476
2019-09-30,$503
2019-06-30,$488
2019-03-31,$421
2018-12-31,$348
2018-09-30,$453
2018-06-30,$474
2018-03-31,$416
2017-12-31,$155
2017-09-30,$469
2017-06-30,$102
2017-03-31,"$2,130"
2016-12-31,$300
2016-09-30,$394
2016-06-30,$347
2016-03-31,$-473
2015-12-31,$364
2015-09-30,$345
2015-06-30,$319
2015-03-31,$290
2014-12-31,$325
2014-09-30,$104
2014-06-30,$314
2014-03-31,$284
2013-12-31,$290
2013-09-30,$137
2013-06-30,$288
2013-03-31,$290
2012-12-31,$278
2012-09-30,$139
2012-06-30,$485
2012-03-31,$296
2011-12-31,$248
2011-09-30,$325
2011-06-30,$327
2011-03-31,$304
2010-12-31,$269
2010-09-30,$272
2010-06-30,$253
2010-03-31,$252
2009-12-31,$252
2009-09-30,$244
2009-06-30,$113
2009-03-31,$206
