Caesars Entertainment Quarterly Net Income (Millions of US $),Caesars Entertainment Quarterly Net Income (Millions of US $).1
2024-06-30,$-122
2024-03-31,$-158
2023-12-31,$-72
2023-09-30,$74
2023-06-30,$920
2023-03-31,$-136
2022-12-31,$-148
2022-09-30,$52
2022-06-30,$-123
2022-03-31,$-680
2021-12-31,$-434
2021-09-30,$-233
2021-06-30,$71
2021-03-31,$-423
2020-12-31,$-555
2020-09-30,$-926
2020-06-30,$-100
2020-03-31,$-176
2019-12-31,$-13
2019-09-30,$37
2019-06-30,$19
2019-03-31,$38
2018-12-31,$-0
2018-09-30,$38
2018-06-30,$37
2018-03-31,$21
2017-12-31,$89
2017-09-30,$30
2017-06-30,$-46
2017-03-31,$1
2016-12-31,$1
2016-09-30,$10
2016-06-30,$11
2016-03-31,$3
2015-12-31,$110
2015-09-30,$5
2015-06-30,$5
2015-03-31,$-6
2014-12-31,$-11
2014-09-30,$-4
2014-06-30,$3
2014-03-31,$-2
2013-12-31,
2013-09-30,$3
2013-03-31,$2
2012-12-31,
2011-12-31,
