A O Smith Quarterly Net Income (Millions of US $),A O Smith Quarterly Net Income (Millions of US $).1
2024-06-30,$156
2024-03-31,$148
2023-12-31,$137
2023-09-30,$135
2023-06-30,$157
2023-03-31,$127
2022-12-31,$-120
2022-09-30,$110
2022-06-30,$126
2022-03-31,$120
2021-12-31,$140
2021-09-30,$132
2021-06-30,$118
2021-03-31,$98
2020-12-31,$120
2020-09-30,$105
2020-06-30,$68
2020-03-31,$52
2019-12-31,$91
2019-09-30,$87
2019-06-30,$102
2019-03-31,$89
2018-12-31,$126
2018-09-30,$105
2018-06-30,$115
2018-03-31,$99
2017-12-31,$23
2017-09-30,$94
2017-06-30,$92
2017-03-31,$88
2016-12-31,$83
2016-09-30,$83
2016-06-30,$87
2016-03-31,$74
2015-12-31,$80
2015-09-30,$74
2015-06-30,$71
2015-03-31,$58
2014-12-31,$53
2014-09-30,$51
2014-06-30,$57
2014-03-31,$47
2013-12-31,$42
2013-09-30,$46
2013-06-30,$42
2013-03-31,$39
2012-12-31,$39
2012-09-30,$37
2012-06-30,$35
2012-03-31,$48
2011-12-31,$32
2011-09-30,$182
2011-06-30,$50
2011-03-31,$41
2010-12-31,$32
2010-09-30,$32
2010-06-30,$17
2010-03-31,$31
2009-12-31,$23
2009-09-30,$35
2009-06-30,$21
2009-03-31,$3
