Lam Research Quarterly Net Income (Millions of US $),Lam Research Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,020"
2024-03-31,$966
2023-12-31,$954
2023-09-30,$887
2023-06-30,$803
2023-03-31,$814
2022-12-31,"$1,469"
2022-09-30,"$1,426"
2022-06-30,"$1,209"
2022-03-31,"$1,022"
2021-12-31,"$1,195"
2021-09-30,"$1,180"
2021-06-30,"$1,145"
2021-03-31,"$1,071"
2020-12-31,$869
2020-09-30,$823
2020-06-30,$697
2020-03-31,$575
2019-12-31,$515
2019-09-30,$466
2019-06-30,$542
2019-03-31,$547
2018-12-31,$569
2018-09-30,$533
2018-06-30,"$1,021"
2018-03-31,$779
2017-12-31,$-10
2017-09-30,$591
2017-06-30,$526
2017-03-31,$575
2016-12-31,$333
2016-09-30,$264
2016-06-30,$259
2016-03-31,$143
2015-12-31,$223
2015-09-30,$289
2015-06-30,$131
2015-03-31,$206
2014-12-31,$177
2014-09-30,$141
2014-06-30,$233
2014-03-31,$164
2013-12-31,$149
2013-09-30,$86
2013-06-30,$86
2013-03-31,$19
2012-12-31,$6
2012-09-30,$3
2012-06-30,$18
2012-03-31,$46
2011-12-31,$33
2011-09-30,$72
2011-06-30,$126
2011-03-31,$182
2010-12-31,$222
2010-09-30,$194
2010-06-30,$140
2010-03-31,$120
2009-12-31,$70
2009-09-30,$17
2009-06-30,$-88
2009-03-31,$-198
