Extra Space Storage Inc Quarterly Net Income (Millions of US $),Extra Space Storage Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$185
2024-03-31,$213
2023-12-31,$216
2023-09-30,$188
2023-06-30,$202
2023-03-31,$196
2022-12-31,$204
2022-09-30,$220
2022-06-30,$232
2022-03-31,$204
2021-12-31,$268
2021-09-30,$188
2021-06-30,$168
2021-03-31,$203
2020-12-31,$156
2020-09-30,$115
2020-06-30,$103
2020-03-31,$108
2019-12-31,$112
2019-09-30,$108
2019-06-30,$105
2019-03-31,$95
2018-12-31,$101
2018-09-30,$130
2018-06-30,$95
2018-03-31,$88
2017-12-31,$216
2017-09-30,$94
2017-06-30,$87
2017-03-31,$82
2016-12-31,$82
2016-09-30,$118
2016-06-30,$83
2016-03-31,$83
2015-12-31,$9
2015-09-30,$72
2015-06-30,$55
2015-03-31,$54
2014-12-31,$45
2014-09-30,$54
2014-06-30,$42
2014-03-31,$37
2013-12-31,$77
2013-09-30,$29
2013-06-30,$34
2013-03-31,$31
2012-12-31,$36
2012-09-30,$39
2012-06-30,$22
2012-03-31,$20
2011-12-31,$16
2011-09-30,$15
2011-06-30,$11
2011-03-31,$8
2010-12-31,$9
2010-09-30,$8
2010-06-30,$6
2010-03-31,$4
2009-12-31,$6
2009-09-30,$6
2009-06-30,$-8
2009-03-31,$28
