Essex Property Trust Quarterly Net Income (Millions of US $),Essex Property Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$93
2024-03-31,$273
2023-12-31,$65
2023-09-30,$87
2023-06-30,$100
2023-03-31,$154
2022-12-31,$185
2022-09-30,$93
2022-06-30,$57
2022-03-31,$73
2021-12-31,$137
2021-09-30,$118
2021-06-30,$65
2021-03-31,$168
2020-12-31,$96
2020-09-30,$74
2020-06-30,$84
2020-03-31,$315
2019-12-31,$129
2019-09-30,$99
2019-06-30,$92
2019-03-31,$119
2018-12-31,$118
2018-09-30,$81
2018-06-30,$100
2018-03-31,$91
2017-12-31,$104
2017-09-30,$80
2017-06-30,$71
2017-03-31,$179
2016-12-31,$196
2016-09-30,$66
2016-06-30,$72
2016-03-31,$78
2015-12-31,$80
2015-09-30,$42
2015-06-30,$46
2015-03-31,$59
2014-12-31,$40
2014-09-30,$54
2014-06-30,$1
2014-03-31,$22
2013-12-31,$32
2013-09-30,$69
2013-06-30,$25
2013-03-31,$25
2012-12-31,$44
2012-09-30,$16
2012-06-30,$37
2012-03-31,$23
2011-12-31,$14
2011-09-30,$8
2011-06-30,$10
2011-03-31,$8
2010-12-31,$5
2010-09-30,$6
2010-06-30,$9
2010-03-31,$13
2009-12-31,$7
2009-09-30,$22
2009-06-30,$11
2009-03-31,$42
