American Electric Power Quarterly Net Income (Millions of US $),American Electric Power Quarterly Net Income (Millions of US $).1
2024-06-30,$340
2024-03-31,"$1,003"
2023-12-31,$336
2023-09-30,$954
2023-06-30,$521
2023-03-31,$397
2022-12-31,$384
2022-09-30,$684
2022-06-30,$525
2022-03-31,$715
2021-12-31,$539
2021-09-30,$796
2021-06-30,$578
2021-03-31,$575
2020-12-31,$436
2020-09-30,$749
2020-06-30,$521
2020-03-31,$495
2019-12-31,$154
2019-09-30,$734
2019-06-30,$461
2019-03-31,$573
2018-12-31,$363
2018-09-30,$578
2018-06-30,$528
2018-03-31,$454
2017-12-31,$401
2017-09-30,$545
2017-06-30,$375
2017-03-31,$592
2016-12-31,$373
2016-09-30,$-766
2016-06-30,$502
2016-03-31,$501
2015-12-31,$470
2015-09-30,$518
2015-06-30,$430
2015-03-31,$629
2014-12-31,$191
2014-09-30,$493
2014-06-30,$390
2014-03-31,$560
2013-12-31,$347
2013-09-30,$433
2013-06-30,$338
2013-03-31,$363
2012-12-31,$21
2012-09-30,$487
2012-06-30,$362
2012-03-31,$389
2011-12-31,$308
2011-09-30,$928
2011-06-30,$352
2011-03-31,$353
2010-12-31,$176
2010-09-30,$555
2010-06-30,$136
2010-03-31,$344
2009-12-31,$238
2009-09-30,$443
2009-06-30,$316
2009-03-31,$360
