Packaging Of America Quarterly Net Income (Millions of US $),Packaging Of America Quarterly Net Income (Millions of US $).1
2024-06-30,$198
2024-03-31,$147
2023-12-31,$186
2023-09-30,$182
2023-06-30,$201
2023-03-31,$190
2022-12-31,$208
2022-09-30,$261
2022-06-30,$302
2022-03-31,$252
2021-12-31,$210
2021-09-30,$251
2021-06-30,$207
2021-03-31,$167
2020-12-31,$121
2020-09-30,$138
2020-06-30,$57
2020-03-31,$142
2019-12-31,$131
2019-09-30,$180
2019-06-30,$194
2019-03-31,$187
2018-12-31,$201
2018-09-30,$207
2018-06-30,$185
2018-03-31,$139
2017-12-31,$267
2017-09-30,$138
2017-06-30,$142
2017-03-31,$116
2016-12-31,$110
2016-09-30,$118
2016-06-30,$115
2016-03-31,$103
2015-12-31,$103
2015-09-30,$126
2015-06-30,$113
2015-03-31,$90
2014-12-31,$97
2014-09-30,$103
2014-06-30,$98
2014-03-31,$89
2013-12-31,$228
2013-09-30,$85
2013-06-30,$66
2013-03-31,$62
2012-12-31,$57
2012-09-30,$40
2012-06-30,$45
2012-03-31,$18
2011-12-31,$39
2011-09-30,$42
2011-06-30,$39
2011-03-31,$37
2010-12-31,$55
2010-09-30,$93
2010-06-30,$38
2010-03-31,$19
2009-12-31,$59
2009-09-30,$73
2009-06-30,$109
2009-03-31,$26
