KKR Quarterly Net Income (Millions of US $),KKR Quarterly Net Income (Millions of US $).1
2024-06-30,$668
2024-03-31,$682
2023-12-31,"$1,040"
2023-09-30,"$1,473"
2023-06-30,$844
2023-03-31,$323
2022-12-31,$121
2022-09-30,$33
2022-06-30,$-735
2022-03-31,$-10
2021-12-31,$573
2021-09-30,"$1,131"
2021-06-30,"$1,278"
2021-03-31,"$1,644"
2020-12-31,"$1,480"
2020-09-30,"$1,057"
2020-06-30,$699
2020-03-31,"$-1,289"
2019-12-31,$515
2019-09-30,$241
2019-06-30,$514
2019-03-31,$701
2018-12-31,$-393
2018-09-30,$640
2018-06-30,$680
2018-03-31,$170
2017-12-31,$166
2017-09-30,$154
2017-06-30,$406
2017-03-31,$259
2016-12-31,$171
2016-09-30,$352
2016-06-30,$94
2016-03-31,$-330
2015-12-31,$32
2015-09-30,$-191
2015-06-30,$376
2015-03-31,$271
2014-12-31,$-1
2014-09-30,$90
2014-06-30,$178
2014-03-31,$210
2013-12-31,$278
2013-09-30,$205
2013-06-30,$15
2013-03-31,$193
2012-12-31,$97
2012-09-30,$127
2012-06-30,$146
2012-03-31,$190
2011-12-31,$46
2011-09-30,$-243
2011-06-30,$40
2011-03-31,$160
2010-12-31,$181
2010-09-30,$9
2010-06-30,$30
2010-03-31,$114
2009-12-31,
2009-09-30,$617
2009-06-30,$366
