Westinghouse Air Brake Technologies Quarterly Net Income (Millions of US $),Westinghouse Air Brake Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$289
2024-03-31,$272
2023-12-31,$215
2023-09-30,$240
2023-06-30,$191
2023-03-31,$169
2022-12-31,$158
2022-09-30,$160
2022-06-30,$166
2022-03-31,$149
2021-12-31,$190
2021-09-30,$131
2021-06-30,$125
2021-03-31,$112
2020-12-31,$88
2020-09-30,$128
2020-06-30,$87
2020-03-31,$112
2019-12-31,$136
2019-09-30,$91
2019-06-30,$104
2019-03-31,$-5
2018-12-31,$34
2018-09-30,$88
2018-06-30,$84
2018-03-31,$88
2017-12-31,$49
2017-09-30,$67
2017-06-30,$72
2017-03-31,$74
2016-12-31,$38
2016-09-30,$82
2016-06-30,$90
2016-03-31,$94
2015-12-31,$102
2015-09-30,$99
2015-06-30,$102
2015-03-31,$96
2014-12-31,$94
2014-09-30,$90
2014-06-30,$88
2014-03-31,$80
2013-12-31,$75
2013-09-30,$74
2013-06-30,$74
2013-03-31,$69
2012-12-31,$65
2012-09-30,$63
2012-06-30,$64
2012-03-31,$59
2011-12-31,$45
2011-09-30,$47
2011-06-30,$36
2011-03-31,$41
2010-12-31,$30
2010-09-30,$31
2010-06-30,$31
2010-03-31,$30
2009-12-31,$24
2009-09-30,$27
2009-06-30,$31
2009-03-31,$33
