Kimberly-Clark Quarterly Net Income (Millions of US $),Kimberly-Clark Quarterly Net Income (Millions of US $).1
2024-06-30,$544
2024-03-31,$647
2023-12-31,$509
2023-09-30,$587
2023-06-30,$102
2023-03-31,$566
2022-12-31,$507
2022-09-30,$467
2022-06-30,$437
2022-03-31,$523
2021-12-31,$357
2021-09-30,$469
2021-06-30,$404
2021-03-31,$584
2020-12-31,$539
2020-09-30,$472
2020-06-30,$681
2020-03-31,$660
2019-12-31,$547
2019-09-30,$671
2019-06-30,$485
2019-03-31,$454
2018-12-31,$411
2018-09-30,$451
2018-06-30,$455
2018-03-31,$93
2017-12-31,$617
2017-09-30,$567
2017-06-30,$531
2017-03-31,$563
2016-12-31,$505
2016-09-30,$550
2016-06-30,$566
2016-03-31,$545
2015-12-31,$333
2015-09-30,$517
2015-06-30,$-305
2015-03-31,$468
2014-12-31,$-83
2014-09-30,$562
2014-06-30,$509
2014-03-31,$538
2013-12-31,$539
2013-09-30,$546
2013-06-30,$526
2013-03-31,$531
2012-12-31,$267
2012-09-30,$517
2012-06-30,$498
2012-03-31,$468
2011-12-31,$401
2011-09-30,$432
2011-06-30,$408
2011-03-31,$350
2010-12-31,$492
2010-09-30,$469
2010-06-30,$498
2010-03-31,$384
2009-12-31,$492
2009-09-30,$582
2009-06-30,$403
2009-03-31,$407
