AMD Quarterly Net Income (Millions of US $),AMD Quarterly Net Income (Millions of US $).1
2024-06-30,$265
2024-03-31,$123
2023-12-31,$667
2023-09-30,$299
2023-06-30,$27
2023-03-31,$-139
2022-12-31,$21
2022-09-30,$66
2022-06-30,$447
2022-03-31,$786
2021-12-31,$974
2021-09-30,$923
2021-06-30,$710
2021-03-31,$555
2020-12-31,"$1,781"
2020-09-30,$390
2020-06-30,$157
2020-03-31,$162
2019-12-31,$170
2019-09-30,$120
2019-06-30,$35
2019-03-31,$16
2018-12-31,$38
2018-09-30,$102
2018-06-30,$116
2018-03-31,$81
2017-12-31,$-19
2017-09-30,$61
2017-06-30,$-42
2017-03-31,$-33
2016-12-31,$-52
2016-09-30,$-406
2016-06-30,$69
2016-03-31,$-109
2015-12-31,$-102
2015-09-30,$-197
2015-06-30,$-181
2015-03-31,$-180
2014-12-31,$-364
2014-09-30,$17
2014-06-30,$-36
2014-03-31,$-20
2013-12-31,$89
2013-09-30,$48
2013-06-30,$-74
2013-03-31,$-146
2012-12-31,$-473
2012-09-30,$-157
2012-06-30,$37
2012-03-31,$-590
2011-12-31,$-177
2011-09-30,$97
2011-06-30,$61
2011-03-31,$510
2010-12-31,$375
2010-09-30,$-118
2010-06-30,$-43
2010-03-31,$257
2009-12-31,"$1,178"
2009-09-30,$-128
2009-06-30,$-330
2009-03-31,$-416
